# Lote 35 · 16 instituciones · 2026-08-07 · solo el dominio oficial de cada ficha · TLS con --ssl-no-revoke (MITM del entorno) · todo 403 reintentado con UA+Accept de Chrome · dominios dudosos verificados contra 8.8.8.8
University Canada West | redirige | ucanwest.ca -> https://www.ucanwest.ca/ (301, agrega www) | University Canada West (UCW) · el pie dice "UCW is part of: Global University Systems" | si | https://www.ucanwest.ca/programs | ~17 (5 pregrado + 2 posgrado + 1 preparatorio + 9 micro-credenciales) | Associate, Bachelor, MBA (presencial y online), University Access Program, micro-credenciales | institucion | puede_vender promete "Idiomas" y "Foundation & Pre master": el sitio NO tiene ESL/EAP propio ni foundation — solo el University Access Program · tipo_adivinado "vacacional" es incorrecto para una universidad con MBA · partner_group "GUS" SI se confirma en el sitio (unico del lote que verifica)
WILLIAM ANGLISS | si | www.angliss.edu.au | William Angliss Institute (ABN 66266583978 · RTO 3045 · CRICOS 01505M · TEQSA PRV12153) | parcial | https://www.angliss.edu.au/courses/ | ~20 secciones de catalogo (Foods, Tourism, Hospitality, Events, Hotel Management) | Certificate, Diploma, Advanced Diploma y Bachelor (TAFE + grados) | institucion | el nombre de la ficha esta en MAYUSCULAS SOSTENIDAS y le falta "Institute" · campus en Melbourne (555 La Trobe St) Y SYDNEY, la ficha solo registra Melbourne · NO tiene ELICOS propio: el sitio solo lista "ELICOS Partners" de terceros, asi que puede_vender "Todos los programas" sobrepromete idiomas · tipo_adivinado "curso_corto" para una institucion que otorga grados
Curtin University | si | www.curtin.edu.au | Curtin University (ABN 99 143 842 569) | si | https://www.curtin.edu.au/study/ (study.curtin.edu.au redirige aqui) | ? (buscador, sin conteo publicado) | Bachelor, Master por coursework, HDR/PhD, desarrollo profesional, Curtin English, UniReady | institucion | DOS SUBDOMINIOS TRAMPA: search.curtin.edu.au responde 200 pero con SOLO 439 BYTES (cascara JS vacia) y courses.curtin.edu.au redirige a central.curtin.edu.au con <title>Site Zero [prod]</title> — un scraper que siga cualquiera de los dos se lleva NADA o un sitio interno · usar /study/ · el foundation/pathway lo opera CURTIN COLLEGE (Navitas), entidad distinta que la ficha no registra (partner_group null) · campus en Perth, Kalgoorlie, Dubai, Malasia, Mauricio, Singapur y Colombo, la ficha solo Perth · tipo_adivinado "vacacional"
ICHM | si (http -> https, mismo host) | www.ichm.edu.au | ICHM Pty Ltd (ABN 64 080 984 738 · CRICOS 02914G · TEQSA PRV12099) — International College of Hotel Management | parcial | https://www.ichm.edu.au/courses | ~6 | Certificate of Hotel/Tourism/Hospitality Operations, Bachelor of Business (Hospitality Mgmt), Graduate Certificate, Graduate Diploma, Master of International Hotel Management, Study Abroad | institucion | la ficha guarda SOLO LA SIGLA "ICHM", sin el nombre real — imposible de validar por nombre y colisiona con otras siglas · ficha degradada: `sitio` en http (sin TLS declarado), category null, ciudad null (es ADELAIDE, 131-139 Currie St) y puede_vender VACIO para un college que llega hasta MASTER · NO tiene cursos de idiomas
Vancouver Island University VIU | si | www.viu.ca | Vancouver Island University (900 Fifth Street, Nanaimo, British Columbia) | si | https://www.viu.ca/programs | "100+" | Certificate, Diploma, Bachelor, Master, oficios/trades y preparacion academica | institucion | la ficha tiene ciudad null y el error facil aqui es asumir "Vancouver": la universidad esta en NANAIMO, en la isla, no en la ciudad de Vancouver · puede_vender "Todos los programas" es generoso: no hay ELICOS destacado, solo preparacion academica · la home sirve HTML real prerenderizado (17 KB) — es enumerable, no SPA
SACE | si | sace.edu.au | SACE Adelaide · South Australian College of English (desde 1987, Woodards House, Adelaide) | parcial | NO HAY pagina unica de catalogo · una por curso: /general-english-course/ /ielts-preparation/ /pte-preparation/ /english-for-tertiary-studies/ /english-plus-courses/ /cambridge-celta-online/ /international-high-school-bridging-programme/ /study-tours/ /evergreen-programme/ | ~9-10 | SOLO idiomas (ingles): general, IELTS/PTE, English for Tertiary Studies, high school bridging, CELTA, study tours, TOEIC | institucion | /courses/ DEVUELVE 404 aunque el menu diga "Courses": el catalogo NO es enumerable desde una lista, hay que recorrer las 9-10 paginas sueltas · COLISION DE SIGLA PELIGROSA: "SACE" es tambien el South Australian Certificate of Education (el bachillerato estatal, organismo de gobierno) — verificar siempre que el destino sea sace.edu.au y no confundirlo · hay DOS URLs gemelas del mismo curso (-program y -programme) que duplicarian la extraccion · puede_vender trae "Idiomas" DUPLICADO
# nota: ninguno de los 16 dominios esta muerto. El unico 403 real (EU Business School) es WAF y cede con UA de Chrome; el 403 de course-search.scu.edu.au es un challenge de Cloudflare que NO cede con UA y bloquea el catalogo entero de SCU.
# nota: 3 partner_group NO se verifican desde el dominio oficial (Stirling/INTO, Aberdeen/Study Group, Seton Hill/Wellspring) y 1 si (UCW/GUS). "Wellspring" ya habia fallado igual en el lote 18 (Loyola New Orleans): auditar el campo completo.
# nota: 2 fichas tienen el campo `sitio` mal formado y 1 mal apuntado: South Australian Government Schools sin protocolo, ICHM en http, University of Canberra College apuntando al holding Navitas.
# nota: 5 catalogos NO son enumerables tal cual (SCU bloqueado por Cloudflare, Stirling buscador sin sitemap, Aberdeen buscador, Curtin buscador con 2 subdominios trampa, SACE sin pagina indice con /courses/ en 404).
# RESUMEN: ok=1 muertos=0 redirigen=3 nombre_distinto=2 no_institucion=2 duplicados=0 fantasmas=1
