# Lote 11 · 2026-08-07
# DNS verificado contra 8.8.8.8 para los 16 dominios: los 16 resuelven. Muertos reales: 0.
# Reintentos con UA de Chrome + headers completos (Accept, Accept-Language, Sec-Fetch-*) donde hubo 403.

Azurlingua | si | azurlingua.com | Azurlingua School – Nice – Private Higher Education Establishment | si | https://azurlingua.com/courses-main | ? (adultos + juniors, sin conteo publicado) | Idiomas (francés general, DELF/DALF) | institucion | La URL EXACTA de la ficha (https://www.azurlingua.com/) NO carga: el certificado sólo cubre azurlingua.com, el host www no está en los altnames (curl exit 60). Usar el apex. Además el sitio está en Nice, no dice ciudad la ficha, y NO menciona pertenecer a Alpadia/Kaplan → partner_group "Alpadia" sin confirmar.
University of South Australia (UniSA) | redirige | unisa.edu.au → adelaide.edu.au | Adelaide University | no | https://adelaide.edu.au/study/ | ? | Pregrado y Posgrado | institucion | REDIRECT 302 A OTRA UNIVERSIDAD: UniSA se fusionó y ya no existe como institución separada; el sitio destino habla de "UniSA transitioning students". La ficha está obsoleta: nombre, dominio y probablemente toda la oferta. `category` null y `puede_vender` vacío.
Greenwich College | si | greenwichcollege.edu.au | Greenwich College | si | https://www.greenwichcollege.edu.au/elicos | ? (inglés + VET) | ELICOS, Cambridge, IELTS + Certificate/Diploma VET (Management/Marketing/IT, Hospitality, Health & Care) | institucion (parte de NextEd Group) | `puede_vender` dice sólo "Idiomas" pero también vende VET Certificate/Diploma → inconsistente. Son 6 campus (Sydney, Melbourne, Perth, Brisbane, Gold Coast, Adelaide), la ficha sólo lista 2. `partner_group` "Nexted" sí se confirma (NextEd Group en el footer).
Global Village English Centres | si | gvenglish.com | Global Village English (GV) | parcial | https://gvenglish.com/english-courses/ | ~15+ | Idiomas: inglés general, business, preparación de exámenes, academic pathways, junior/teen, y también francés (TCF/TEF) | institucion (2 campus: Victoria y Calgary) | El nombre de la ficha, "Global Village English Centres", NO aparece en el sitio: hoy se presenta como "Global Village English" / "GV". Opera 2 sedes (Victoria + Calgary); la ficha sólo registra Victoria.
Australian Wings Academy | redirige | awa.qld.edu.au → flightone.edu.au | Flight One Australia Pty Ltd / Flight One Education Pty Ltd ("Flight One School of Aviation" y "Flight One School of Engineering") | no | https://flightone.edu.au/courses/ | ~12-13 | Diploma de piloto profesional, licencias CPL/PPL/RPL, habilitaciones (jet, Cirrus), ingeniería aeronáutica (certificados, apprenticeship, RPL) | institucion | REDIRECT 301 PERMANENTE + REBRAND: "Australian Wings Academy" ya no es la marca; sólo sobrevive en un enlace de LinkedIn. Además el sitio opera desde Adelaide / South Australia pese al dominio .qld.edu.au → la ficha (país Australia, sin ciudad) y el dominio sugieren Queensland, que ya no corresponde. Sin aviso de cierre ni de inscripciones suspendidas.
Box Hill | si | boxhill.edu.au | Box Hill Institute | parcial | https://www.boxhill.edu.au/courses/study-options/ | ? (17 study areas + slugs de curso individuales) | Certificate, Diploma, Advanced Diploma, Undergraduate degree, Apprenticeships/Pre-apprenticeships, Short courses, VCE/VDSS y ELICOS (English for Academic Purposes) | institucion | Sitio JS-renderizado y SIN sitemap.xml: las raíces obvias (/courses/, /courses, /study/, /study-areas/) devuelven 404 y sólo funcionan subrutas concretas (/courses/study-options/, /study-areas/<slug>, /international-students/international-courses/) → catálogo NO enumerable con fetch simple, requiere navegador o mapeo manual de slugs. Nombre de la ficha incompleto ("Box Hill" vs "Box Hill Institute"). ELICOS confirmado, así que "Idiomas" en puede_vender sí se sostiene.

# NOTA TRANSVERSAL: 6 fichas de este lote (WSU College, QUT, Kent, EQI, Macquarie, UniSA) vienen con
# category=null, partner_group=null, puede_vender=[] y tipo_adivinado="curso_corto". Cuatro de ellas son
# universidades completas o redes K-12. Parecen provenir de un import distinto y sin clasificar.

# RESUMEN: ok=1 muertos=0 redirigen=2 nombre_distinto=8 no_institucion=3 duplicados=0 fantasmas=2
