# Lote 32 · 2026-08-07
# DNS verificado contra 8.8.8.8 para los 16 dominios: los 16 resuelven. Muertos reales: 0.
# Todos los fetch con UA de Chrome + Accept/Accept-Language/Sec-Fetch-* completos.
# Nota de entorno: la red intercepta TLS (schannel CRYPT_E_NO_REVOCATION_CHECK en los 16);
# se usó --ssl-no-revoke. Eso NO es problema de los sitios, salvo donde se indica.

ELI Schools | si | elischools.com | ELI Schools (LT Education Abroad Limited, Company No. 605302) | si | https://elischools.com/programmes/ | 11 | Idiomas (inglés general A1-C1, IELTS, Work&Study EU/no-EU, junior camps, young adult, teachers, Erasmus+, job shadowing) | institucion | SITIO COMPROMETIDO: el home tiene un párrafo de spam SEO oculto con `style="position: absolute; top: -9999px"` que enlaza a https://cazeuscasinobet.com/ ("Cazeus Casino... slots, casino games, bonuses"). Está inyectado dentro del bloque "Why Choose", invisible para el usuario y visible para un crawler. Es la TERCERA ficha comprometida del catálogo. La subpágina /programmes/ sale limpia → la inyección está en el home. Avisar al partner antes de crawlear: el extractor se va a tragar el link.
International House - Newcastle | si (pero es el dominio de la red) | ihworld.com (el real es ihnewcastle.com) | International House World Organisation (red IH) — la escuela real es "International House Newcastle" | no | https://ihworld.com/schools/countries/united-kingdom/ih-newcastle/ (real: https://www.ihnewcastle.com/) | ihworld.com: cientos de escuelas en el mapa · IH Newcastle real: ~10-14 cursos | Idiomas (General/Business English, IELTS, Cambridge, LanguageCert, español A1-B2, one-to-one, corporativo, junior, internship) + formación de profesores (CELTA, DELTA, CLIL) | red (el dominio de la ficha) / institucion (la escuela real) | DOMINIO DE LA RED, NO DE LA ESCUELA. ihworld.com es la organización franquiciadora IH World: "IH Newcastle" figura sólo como un pin del mapa de escuelas (data-id 910, Newcastle upon Tyne) con enlace a su ficha. La escuela tiene dominio propio verificado: https://www.ihnewcastle.com (200 OK). Un crawler sobre ihworld.com traerá la red entera. Corregir `sitio`. `puede_vender` viene DUPLICADO ("Idiomas","Idiomas") y además la escuela vende CELTA/DELTA (formación de profesores), no sólo idiomas. Opera desde 1978.
Kingston University London | bloquea | kingston.ac.uk | ? | ? | ? | ? | ? | ? | BLOQUEA, NO ESTÁ MUERTA. DNS OK (Cloudflare, www.kingston.ac.uk.cdn.cloudflare.net). Devuelve 403 con cuerpo cifrado/ofuscado de ~3.3 KB en TODAS las rutas probadas (/, apex, /courses/, /undergraduate-courses/), incluso con UA de Chrome + Accept, Accept-Language, Accept-Encoding, Sec-Fetch-Dest/Mode/Site/User y Upgrade-Insecure-Requests. Requiere navegador real con JS para auditar y para la extracción posterior. Mismo patrón que QUT (lote 11). NOTA DE PARTNER: `partner_group` "Study Group" no se puede confirmar desde aquí, pero el pathway de Study Group es una entidad aparte ("Kingston University International Study Centre") con dominio propio en studygroup.com — kingston.ac.uk es la universidad, no el ISC. Si lo que se vende son pathways, la ficha apunta al sitio equivocado.
Conestoga College | si | conestogac.on.ca | Conestoga College (razón social: Conestoga College Institute of Technology and Advanced Learning) | parcial | https://www.conestogac.on.ca/fulltime | 276 | Ontario College Certificate, Diploma, Advanced Diploma, Degree, Graduate Certificate, Certificate of Achievement, Apprenticeship | institucion | Catálogo NO enumerable de una pasada: /fulltime declara "Showing 276 results" pero es un buscador con filtros (fecha de inicio, área, campus, duración, credencial, co-op/online) que carga por demanda → la extracción necesita paginar o atacar el endpoint de búsqueda. La ficha dice 1 ciudad (Kitchener) pero opera 8 campus: Brantford, Cambridge, Guelph, Ingersoll, Kitchener-Doon, Milton, Stratford y Waterloo. Otorga Degree (bachelor), no sólo vocacional. No se detectó aviso de suspensión de programas por el cap de estudiantes internacionales de Canadá (verificar aparte: es un riesgo real del sector en 2025-2026, pero no está publicado en el home).
Queens College | si | qc.cuny.edu | Queens College, CUNY | parcial | https://www.qc.cuny.edu/admissions/undergraduate/ y https://www.qc.cuny.edu/ga/graduate-programs/ | 78 majors de pregrado + 100+ másters + 40+ másters acelerados | Pregrado (bachelor) y Posgrado (master) | institucion | EL PATHWAY DE NAVITAS NO ESTÁ EN ESTE DOMINIO. `partner_group` = "Navitas" y `puede_vender` = "Foundation, Year 1, Pre master", pero qc.cuny.edu no menciona Navitas, ni Foundation, ni Year 1, ni Pre-Master's ni una sola vez. Lo que sí aparece es el "Global Student Success Program (GSSP)" con dominio propio: https://www.queensgssp.com (200 OK) — esa es la marca Navitas. Si lo que la agencia vende son los pathways, el `sitio` debería ser queensgssp.com; con qc.cuny.edu el crawler traerá 78 majors de admisión directa que NO son lo que la ficha dice vender. Nombre incompleto en la ficha ("Queens College" sin CUNY) y `ciudad` "Queens" cuando el barrio real es Flushing.
GLS | si | gls-german-courses.de | GLS Campus Berlin GmbH & Co. KG (marca "GLS", German Language School) | parcial | https://www.gls-german-courses.de/german-courses-for-adults-berlin.html | ? (organizado por nivel A1-C2 y por tipo, sin conteo publicado) | Idiomas (alemán general, alemán de negocios, online, campamentos junior) + colocación en high school | institucion | Nombre de la ficha reducido a la sigla ("GLS"): el sitio se identifica como "GLS Campus Berlin". Este dominio cubre SÓLO la oferta de alemán del campus de Berlín (Kastanienallee 82, Prenzlauer Berg); GLS opera además campamentos junior en Múnich y colocaciones de high school en varias ciudades alemanas, que no están en este catálogo. Catálogo NO enumerable como lista: se navega por nivel CEFR y tipo de curso. `puede_vender` = "Idiomas" es correcto.

# NOTAS TRANSVERSALES DEL LOTE 32
# 1. TRES fichas apuntan a un dominio que NO es el de la institución: UCIC→navitas.com (holding),
#    IH Newcastle→ihworld.com (red franquiciadora) y, funcionalmente, Queens College→qc.cuny.edu
#    cuando lo que vende (Foundation/Year1/Pre-master) vive en queensgssp.com. Es el patrón (a)
#    ya visto en lotes anteriores, y en este lote afecta a las 3 fichas con partner_group.
# 2. CINCO fichas traen el nombre desactualizado por rebrand o fusión: RMIT English Worldwide→RMIT UP,
#    Peninsula Grammar (ex The Peninsula School), UoA→Adelaide University, Warsaw University of
#    Business→Warszawska Uczelnia Ekonomiczna, SACC (ex Language Institute).
# 3. DUPLICADO CROSS-LOTE: "The University of Adelaide (UoA)" (este lote) y "University of South
#    Australia (UniSA)" (lote 11) apuntan hoy a la misma entidad fusionada en adelaide.edu.au.
# 4. Cinco fichas (Swinburne, RMIT EW, Peninsula, Adelaide, Bond) vienen con category=null,
#    partner_group=null, puede_vender=[] y tipo_adivinado="curso_corto"; cuatro son universidades
#    completas o colegios K-12. Mismo import sin clasificar detectado en lotes 11 y 17.
# 5. Sólo 4 de 16 fichas están limpias de observación material.

# RESUMEN: ok=4 muertos=0 redirigen=5 nombre_distinto=10 no_institucion=2 duplicados=1 fantasmas=2
