# Lote 31 · 2026-08-07
# Nota de entorno: la red intercepta TLS (MITM), curl requiere -k. Todas las verificaciones
# de "responde" se hicieron con UA de Chrome + headers Sec-Fetch completos, y DNS contra 8.8.8.8.

Neuro Business School | si | eunbs.com | NEURO Business School | si | https://eunbs.com/ (listado en home, sin pagina /programas dedicada) | 6 | Bachelor (3a) x2, Master (1a) x3, Executive MBA x1 | institucion | Titulos NO propios: los bachelor y el master en IA los "valida" Utamed y los master/MBA los valida UVic-UCC. Escuela privada, no universidad. Verificar que la agencia pueda vender titulacion validada por tercero antes de ofrecer "Pregrado & Postgrado".
Es Dubai | si | esdubai.com | ES Dubai (English Studies Dubai) | si | https://esdubai.com/es/courses/ | ~8 | General English (1-52 sem), ES Flex nocturno, IELTS Preparation, English for IELTS, Speaking Class, Academic English, Business English, CELTA (formacion de profesores) | institucion | -
iMandarin | bloquea | www.imandarin.net | ? (no accesible desde fuera de China) | ? | ? | ? | ? | ? | GEOBLOQUEO: el servidor responde 200 pero con una pagina de rechazo en chino, titulo "拒绝访问" (acceso denegado) y el texto "禁止国外IP访问" = "prohibido el acceso desde IP extranjera". El dominio esta vivo (A 222.73.85.160, hosting en China) pero es inauditable e inextraible desde LATAM/US/EU sin salida por IP china. Ninguna informacion de la ficha (nombre real, ciudades, si es escuela o franquicia, cursos) pudo verificarse.
University of Sheffield | si | usic.sheffield.ac.uk | University of Sheffield International College (USIC) | no | https://usic.sheffield.ac.uk/programmes | 4 | English Language Preparation, International Foundation Year (1.5 o 2 semestres), International Year One, Pre-Masters (1.5 o 2 semestres) | institucion | La ficha se llama "University of Sheffield" pero el dominio es el PATHWAY COLLEGE, operado por Study Group ("Maintained by Study Group" en el footer), no la universidad. Patron (a) invertido. `puede_vender` ("Foundation, Year 1, Pre master") si corresponde al college, asi que lo que esta mal es el NOMBRE: renombrar a "University of Sheffield International College (USIC)" o el asesor va a cotizar grados de la universidad que este dominio no vende.
Vancouver Community College - VCC | si | www.vcc.ca | Vancouver Community College | si | https://www.vcc.ca/programscourses/ (indice "Programs A-Z") | 17+ areas | Certificados, Diplomas, Apprenticeship/oficios, University Transfer, Continuing Studies | institucion | -
Herzing College | bloquea | www.herzing.ca | ? (no accesible) | ? | ? | ? | ? | ? | Cloudflare JS challenge ("Just a moment...", cf-mitigated: challenge): 403 a la home, a /programs/, a /robots.txt y a /sitemap.xml, con UA de Chrome y headers Sec-Fetch completos. NO esta muerto. Patron (b) duro: la extraccion posterior requiere navegador real o acuerdo con el partner. `puede_vender` ademas esta VACIO pese a ser un college privado con 4 campus en ficha (Montreal, Ottawa, Toronto, Winnipeg) — nada verificable.

# RESUMEN: ok=4 muertos=0 redirigen=2 nombre_distinto=3 no_institucion=1 duplicados=0 fantasmas=0
# Adicional: bloquean=3 (ucdsb.on.ca y herzing.ca por Cloudflare challenge, imandarin.net por geobloqueo a IP no-china)
# Adicional: sitio_invalido=1 (Sarina Russo: "www.sri.edu.au and www.srienglish.edu.au", ademas deberian ser 2 fichas)
# Adicional: dominio_del_grupo_o_universidad=3 (Accademia Galli via ied.es · Bradford apunta a la home de la universidad y no a UBIC · Sheffield es el pathway de Study Group y no la universidad)
# Adicional: puede_vender_vacio_o_inconsistente=5 (Mars, Macallan, Sarina Russo, Sydney, Herzing)
# Adicional: sitios_comprometidos=0 · se reviso el HTML crudo de los 8 sitios chicos/WordPress del lote
#   (eunbs, esdubai, lsf-france, mars, macallan, sri, srienglish, accademiagalli) buscando spam inyectado,
#   divs ocultos y enlaces salientes anomalos. Los hits de "jav"/"xxx" son falsos positivos de "javascript"
#   y de codigo minificado; los display:none son menus moviles y modales. Ningun sitio comprometido.
# Adicional: certificados TLS · no verificables desde esta red (MITM corporativo reescribe todas las cadenas);
#   si hace falta auditar vencimientos hay que correrlo desde fuera de la red de la oficina.
