# Lote 24 · 2026-08-07
# institucion_en_ficha | dominio_responde | dominio_real | nombre_real_en_el_sitio | nombre_coincide | url_de_programas | cantidad_aprox | niveles | tipo | alerta

USQ (University of Southern Queensland) | redirige | usq.edu.au -> www.unisq.edu.au (301 Moved Permanently) | University of Southern Queensland (UniSQ) | si | https://www.unisq.edu.au/study/degrees-and-courses | ? (cientos) | Pregrado, Postgrado, Investigacion/PhD, Pathways, Cursos cortos, Dobles titulaciones | institucion | El `sitio` de la ficha esta obsoleto: usq.edu.au redirige 301 a unisq.edu.au tras el rebrand a UniSQ. Actualizar el dominio. `puede_vender` incluye "Idiomas" pero el ELICOS lo entrega UniSQ College y no se confirmo en el dominio raiz.

Sprachcaffe | si | www.sprachcaffe.com | SPRACHCAFFE Languages PLUS | si | rutas por destino (hub en https://www.sprachcaffe.com/es/uc/) | 21 sedes; N cursos por destino | Idiomas (juniors, adultos, grupos, gap year; ~12 a 65+ anos) | red (cadena internacional de escuelas) | NO es una institucion unica: es una RED de 21 sedes en ~11 paises (Malta, Inglaterra, Canada, Espana, Francia, Alemania, Italia, China, Cuba, Marruecos, Sudafrica). El `sitio` de la ficha es un deep-link legacy (`/espanol/main.htm`); el catalogo se navega por destino, no hay pagina unica enumerable. `ciudad: null` correcto pero la ficha lo trata como institucion.

Excel English Institute | si | excelenglishinstitute.com | Excel English Institute | si | https://excelenglishinstitute.com/programs | 6 | Idiomas: Intensive English (basico/intermedio/avanzado), TOEFL prep, Accent Reduction, Business English, electivos, clases a medida | institucion | Ficha dice `ciudad: "Texas"` que es el estado, no la ciudad: real es Dallas TX con dos campus (Richardson y Arlington). Acreditada CEA y autorizada F-1. Sin senales de cierre ni contenido inyectado. `puede_vender` tiene "Idiomas" duplicado.

Oregon State University | si | oregonstate.edu | Oregon State University | si | https://catalog.oregonstate.edu/ | ? (cientos) | Pregrado, Postgrado (incl. MBA hibrido, farmacia), Ecampus online | institucion | `partner_group: INTO` NO VERIFICABLE en el dominio oficial: la home no menciona INTO y el subdominio `into.oregonstate.edu` da NXDOMAIN (no resuelve). `international.oregonstate.edu` redirige 301 a `global.oregonstate.edu`, que devuelve 403 (bloquea, no muerto). Confirmar con el proveedor si el convenio INTO sigue vigente antes de vender pathways.

Orange International College | si | www.orange.edu.au | "Orange International College Pty. Ltd. T/A Orange College" — se presenta como Orange College | parcial | https://www.orange.edu.au/courses/ | ~30+ | ELICOS/General English + Certificate III y IV, Diplomas y Advanced Diplomas, cursos cortos | institucion (RTO 41315 / CRICOS 03446A) | El nombre comercial vigente es "Orange College"; "Orange International College Pty Ltd" es solo la razon social. `category: Instituto Idiomas` se queda corto: la mayoria del catalogo es vocacional, no idiomas. Campus en Melbourne, Port Melbourne y Hobart — la ficha solo registra Melbourne.

UCAM - Universidad Catolica de Murcia | si | www.ucam.edu | Universidad Catolica San Antonio de Murcia (UCAM) | si | https://www.ucam.edu/estudios | ? (cientos) | Grados, Postgrados/Masteres (oficiales y titulos propios), Doctorados, Formacion Profesional, cursos, todo tambien online | institucion | Nombre legal completo es "Universidad Catolica San Antonio de Murcia" (la ficha usa la marca corta). Campus en Murcia, Cartagena, Madrid y Malaga + online: la ficha solo registra Murcia. ~21.300 estudiantes.

New Brunswick International Student Program NBISP | si | caps-i.ca — NO es el dominio de la institucion | Canadian Association of Public Schools - International (CAPS-I); la pagina es una ficha de directorio sobre el NBISP | si (la pagina, no el dominio) | https://caps-i.ca/school/new-brunswick-international-student-program/ | 3 modalidades (Full Year, 1 Semester, Short Term) | High School, grados 6-12, ingles / inmersion en frances | red/directorio (asociacion paraguas) | CRITICO: el `sitio` apunta a CAPS-I, una ASOCIACION paraguas de distritos escolares publicos canadienses, no al programa. El NBISP lo opera Atlantic Education International Inc. (AEI, creada en 1997 por la provincia). Sitio oficial que la propia ficha declara: www.aiecanada.ca -> redirige a aei-inc.ca. Corregir `sitio`; ademas el dominio caps-i.ca probablemente aparezca en mas fichas del catalogo (revisar duplicados cross-lote).

ESL School at NYFA | si | www.eslnyfa.edu (detras de Cloudflare) | The ESL School at NYFA (New York Film Academy) | si | ninguna — `/programs/` devuelve 404 | ? | Solo Idiomas: intensive English (clases de 6-10 estudiantes) | institucion (escuela de idiomas dentro de NYFA) | CRITICO: el sitio es una LANDING de una sola pagina — la navegacion solo tiene "Home" y "Request Information", no hay listado de cursos y `/programs/` da 404. No hay catalogo extraible por esta via. Contradiccion de ficha: `category: College Privado` y `puede_vender: "Todos los programas"` cuando es exclusivamente ESL. `sitio` sin esquema en la ficha (`www.eslnyfa.edu`). DNS OK (8.8.8.8 resuelve a IPs de Cloudflare). Verificar con NYFA si el programa sigue admitiendo estudiantes.

Scots English College | si | www.scotsenglish.edu.au | SCOTS English College | si | https://www.scotsenglish.edu.au/courses/ | 9 presenciales + 1 online | Idiomas ELICOS: General English, EAP, IELTS, Cambridge, PTE Academic, PRONCOM, Fluenciation, Business English, English for Childcare, Building Block English (online) | institucion | `sitio` sin esquema en la ficha. `ciudad: "Nueva Gales del Sur"` es el estado, no la ciudad: real es Sydney con 3 campus (Central Station, South Eveleigh, Bay 3). `puede_vender: Idiomas` (duplicado) es coherente con lo que ofrece.

University of Surrey | si | www.surrey.ac.uk | University of Surrey | si | https://www.surrey.ac.uk/undergraduate y https://www.surrey.ac.uk/postgraduate | 300+ pregrado + postgrado | Pregrado, Postgrado taught, Postgrado research, Foundation, CPD y cursos cortos | institucion | El `puede_vender` incluye "Foundation & Pre master", pero esos pathways de Study Group NO viven en surrey.ac.uk sino en el dominio separado del International Study Centre: https://isc.surrey.ac.uk/programmes. Si se venden pathways, ese es el catalogo a extraer, no el de la universidad.

William Paterson University | si | www.wpunj.edu | William Paterson University | si | https://www.wpunj.edu/academics/ | ? | Pregrado y Postgrado en 5 colleges (Adult and Professional Studies; Arts, Humanities and Social Sciences; Cotsakos College of Business; Education; Science and Health), online y credenciales alternativas | institucion | La home y `/academics/` no enumeran programas: hay que bajar a los catalogos undergraduate y graduate separados. `partner_group: Enrollment Advisory Group EAG` no se menciona en ninguna parte del dominio oficial — sin confirmar. Sin avisos de fusion, cierre ni cambio de nombre.

# NOTAS DE METODO
# - Ningun dominio del lote esta muerto. Los curl desde este entorno devolvieron code=000 por el
#   MITM de TLS de la red local, NO por caida del sitio: todos resolvieron en DNS publico (8.8.8.8)
#   y respondieron 200 con fetch de navegador. Unico 403 real: global.oregonstate.edu (bloquea).
# - Unico NXDOMAIN confirmado: into.oregonstate.edu (subdominio del pathway INTO, no de una ficha).
# - Revisados explicitamente por contenido inyectado/spam: professionalyear.info, excelenglishinstitute.com,
#   orange.edu.au, scotsenglish.edu.au, eslnyfa.edu. Ninguno con contenido ajeno a la institucion.
# - Sin duplicados dentro del lote (16 dominios distintos).
# - `sitio` sin esquema http(s):// en 3 fichas: IMC, ESL School at NYFA, Scots English College.

# RESUMEN: ok=8 muertos=0 redirigen=1 nombre_distinto=1 no_institucion=3 duplicados=0 fantasmas=0
