# Lote 38 · 2026-08-07
# institucion_en_ficha | dominio_responde | dominio_real | nombre_real_en_el_sitio | nombre_coincide | url_de_programas | cantidad_aprox | niveles | tipo | alerta

High School Greater Victoria SD 61 | si | www.sd61.bc.ca (CNAME public.sd61.bc.ca, 159.60.132.98) | The Greater Victoria School District No. 61 | parcial | https://www.sd61.bc.ca/schools/school-map/ (distrito) · vendible: https://www.studyinvictoria.com | 45 escuelas (28 elementary + 10 middle + 7 secondary) · 8 programas internacionales | K-12: Elementary, Middle, High School, Academic Transition, Exchange, Summer Camp, Short Term, GISP | red (distrito escolar publico) | El `sitio` apunta al DISTRITO, no al programa internacional que una agencia vende. El dominio correcto para venta es studyinvictoria.com ("Victoria International Education", operando desde 1992, parte del distrito). `puede_vender: ["High school","High School"]` duplicado y ademas subestima: tambien venden elementary, middle, camps y short term.
SIR WILFRID LAURIER School Board | si | www.swlauriersb.qc.ca (132.219.142.131) | Sir Wilfrid Laurier School Board | si | https://www.swlauriersb.qc.ca/en/schools/our-schools/ | 30+ escuelas y centros (lista paginada) | Preescolar, Primaria, Secundaria, Educacion de Adultos, Formacion Profesional (vocational) | red (school board publico / centre de services scolaire) | CRITICO: `ciudad: "Brantford"` esta MAL — Brantford esta en ONTARIO; este board es de QUEBEC (sede en Rosemere, sirve Laval, Laurentides y Lanaudiere). Ademas `category: "College Privado"` es incorrecto: es una junta escolar PUBLICA de lengua inglesa, y `tipo_adivinado: "curso_corto"` no encaja con `puede_vender: High School`. El programa internacional vendible NO vive en este dominio sino en https://bilingualtraining.ca/international-students/. Catalogo no enumerable en una carga: boton "Load More Schools" + filtros por territorio y nivel.

Inforum Education | si | inforum.com.au (35.213.148.73) | Inforum Education Australia — CRICOS 02894G, colegio acreditado nivel 1 del Department of Home Affairs | si | https://inforum.com.au/english-courses/ (`/courses/` da 404) | ~10 | Solo idiomas: General English (Elementary-Advanced), IELTS, Cambridge FCE, Cambridge CAE, High School Preparation, Young Learners, English + Demi Pair, cursos cortos, study tours, workshops | institucion | `tipo_adivinado: "vacacional"` subestima: es un ELICOS acreditado con preparacion para high school y 18 anos de operacion (10.000+ estudiantes, ST Star Award 2023-2025). `puede_vender: "Todos los programas"` es enganoso: NO otorga ningun titulo, todo es idiomas — `category: "Instituto Idiomas"` si es correcto. Ciudad real Southport, Gold Coast QLD (13-15 Short Street).

Dublin International Study centre | si | www.dublinisc.com (CNAME studygroup.secure.edgekey.net · Akamai de Study Group) | Dublin International Study Centre — "Maintained by Study Group" | si | https://www.dublinisc.com/programmes | 4 | International Foundation Year (pathway a pregrado), English Language Preparation, AI Digital Literacy, Prepare for Success (online gratuito) | institucion (centro de pathway de Study Group adosado a University College Dublin) | Progresa a University College Dublin (UCD). ATENCION: comparte exactamente la misma infraestructura Akamai/IP que pathways.hartford.edu de este mismo lote — un crawler que deduplique por IP los tratara como el mismo sitio. `puede_vender: ["Foundation & Pre master","Foundation & Pre master"]` esta duplicado Y es parcialmente inexacto: el sitio NO lista ningun Pre-Master's, solo Foundation + preparacion de ingles. Sin aviso de cierre ni de fin de convenio.

# NOTAS DE METODO
# - Ningun dominio del lote esta muerto. Los 16 resolvieron en DNS publico (8.8.8.8). Los fallos de
#   conexion TLS desde este entorno (ilsc.com.au, iedmadrid.com, uwa.edu.au via PowerShell) son del
#   MITM de TLS de la red local, NO caidas: todos respondieron con fetch de navegador.
# - Unico bloqueo real (WAF): www.tastafe.tas.edu.au -> 403 incluso con UA de Chrome. BLOQUEA, no muerto.
# - NXDOMAIN confirmado: fuabformacio.uab.cat (subdominio de escuela de la FUAB, no de una ficha).
# - 404 reales en rutas de fichas o de catalogo: www.study.tas.gov.au/study/tastafe (la ruta de la ficha),
#   entrepreneur.edu.au/courses(/), inforum.com.au/courses/, uab.cat/web/estudiar/fuab-formacio-*.html,
#   massey.ac.nz/study/all-qualifications-and-programmes/, ilsc.com/en/our-schools/australia.
# - Revisados explicitamente por contenido inyectado/spam: pacificenglishschool.com, strathfieldcollege.edu.au
#   (Wix), entrepreneur.edu.au, inforum.com.au, mischool.be. Ninguno con contenido ajeno a la institucion.
# - Sin duplicados de dominio dentro del lote (16 dominios distintos), PERO pathways.hartford.edu y
#   www.dublinisc.com apuntan al MISMO CNAME/IP de Study Group (studygroup.secure.edgekey.net, 184.31.188.165):
#   dedupe por IP los fusionaria. Revisar cross-lote: es probable que haya mas ISC de Study Group asi.
# - `sitio` sin esquema http(s):// en 4 fichas: Pacific English Study, ILSC, TasTAFE, Strathfield College.
# - Errores de datos maestros: pais (Montgomery: Germany -> Belgica), ciudad (Sir Wilfrid Laurier:
#   Brantford/Ontario -> Rosemere/Quebec), typo (Massey: "Palmestorn North" -> Palmerston North).
# - 3 fichas cuyo `sitio` apunta a un PARAGUAS y no a la institucion vendible: SD 61 (distrito, no
#   studyinvictoria.com), TasTAFE (portal del gobierno de Tasmania), Sir Wilfrid Laurier (board, no
#   bilingualtraining.ca). 2 fichas cuyo `sitio` apunta al pathway de Study Group y no a la institucion
#   academica: University of Hartford (y Dublin ISC, que si es correcto porque el ISC ES el producto).
# - Catalogos NO enumerables (necesitan otro tratamiento): UAB/FUAB (crawl por escuela),
#   EntrepreneurEducation (no publica cursos · usar training.gov.au), UWA, Massey, NYFA (buscadores
#   dinamicos), Strathfield (por area), Sir Wilfrid Laurier ("Load More" + filtros), TasTAFE (bloqueado).

# RESUMEN: ok=7 muertos=0 redirigen=3 nombre_distinto=1 no_institucion=4 duplicados=0 fantasmas=2
