# Lote 13 · 2026-08-07

Westbourne Grammar School | si | www.westbournegrammar.com | Westbourne Grammar School | si | https://www.westbournegrammar.com/learning/our-approach/ (secciones /learning/early-learning, /middle-school, /senior-school) | n/a — no hay catalogo de programas | K-12 (Early Learning a Year 12, VCE) + short-stay para internacionales | institucion | Es un COLEGIO K-12 australiano (CRICOS 00355F), no un proveedor de cursos: no tiene catalogo enumerable de programas, la extraccion posterior no encontrara nada que listar. `tipo_adivinado`="curso_corto" es incorrecto. Lo unico vendible a un internacional vive en /international/ (matricula regular) y /international/short-stay-programs/. El home es JS-driven; el sitemap.xml si es navegable.
University of Kent | si | www.kent.ac.uk | University of Kent | si | https://www.kent.ac.uk/courses (+ /courses/undergraduate y /courses/postgraduate) | ? | Pregrado, Postgrado | institucion | CATALOGO NO ENUMERABLE: /courses es un buscador dinamico ("Search all available courses" por nombre, materia o codigo UCAS), no una lista estatica — la extraccion posterior necesita otro tratamiento (recorrer los indices por nivel). Ademas `partner_group`="Oxford International" NO aparece en ninguna parte del sitio: si el acuerdo comercial es pathway/foundation via Oxford International, esos programas no viven en kent.ac.uk y extraer de aqui traera oferta que no se puede vender. Mismo problema que Bangor University en el lote 05.

Le Cordon Bleu Australia | redirige | www.cordonbleu.edu/australia/home/en (desde /australia) | Le Cordon Bleu Australia — parte de Le Cordon Bleu International B.V. | si | https://www.cordonbleu.edu/australia/programmes/en | ~35-40 | Certificate III (Commis), Certificate IV (Chef de Partie), Diplome de Cuisine/Patisserie, Diplome CordonTec, Advanced Diploma, Bachelor (Business / Hotel & Restaurant Mgmt), Master/MBA, cursos cortos | institucion | DOMINIO COMPARTIDO: cordonbleu.edu aloja toda la red global (Francia, Japon, etc.) y solo el path /australia corresponde a esta ficha — un crawler que suba al dominio raiz traera paises que no se venden. La oferta VARIA POR CAMPUS (Sydney, Melbourne, Adelaide, Brisbane): un mismo programa no esta disponible en los cuatro. `tipo_adivinado`="curso_corto" subestima el catalogo: hay bachelor y master. CRICOS 02380M / RTO 4959 / TEQSA PRV12100.

Schiller Langue School | redirige | german-language.school (el www de la ficha es NXDOMAIN; el apex solo responde por HTTP puerto 80 y hace 302) | Schiller Language School GmbH & Co. KG | parcial | https://german-language.school/german-language-courses | ~6 niveles A1-C1 + vias especializadas | Idiomas (aleman) + preparacion universitaria, aleman medico, formacion vocacional, examenes telc | institucion | El dominio de la ficha esta MUERTO en www: NXDOMAIN confirmado contra 8.8.8.8 para www.schiller-language-school.com. El apex si resuelve (80.67.16.8) pero ya NO sirve HTTPS — solo responde en puerto 80 y redirige a german-language.school. Actualizar el dato. El nombre de la ficha escribe "Langue" (frances) en vez de "Language". La ficha dice solo Berlin; el sitio opera Berlin Y Bonn. Ademas no es solo escuela de idiomas: hace admisiones universitarias, visado y alojamiento — funciona como pathway provider.

ILAC College | si | ilacinternationalcollege.com | ILAC International College | parcial | https://ilacinternationalcollege.com/programs/ | 2 diplomas + ~4 micro-credenciales + credit transfer | Diploma (Business Administration, Sales & Marketing); micro-credenciales (AI for Non-Technical Professionals, Designing AI Workflows, Accelerated Digital Marketing, Intro to Project Management) | institucion | El nombre real es "ILAC International College", no "ILAC College". Catalogo MUY pequeno (2 diplomas reales) — `puede_vender`="Todos los programas" sugiere un volumen que no existe. Convive con ilac.com, la escuela de IDIOMAS del mismo grupo, que es otra entidad y otro dominio (el propio sitio enlaza a ilac.com/ilac-campuses/): si se quiere vender ELICOS hay que apuntar a ilac.com, no aqui. Campus: Toronto y Vancouver (coincide con la ficha).

Eltham College | si | www.elthamcollege.vic.edu.au (el http de la ficha hace 301 a https) | ELTHAM College | si | https://www.elthamcollege.vic.edu.au/learning/ | n/a — no hay catalogo de programas | K-12 (Early Learning Centre, Junior School Prep-Y6, Senior School Y7-12) + 90+ co-curriculares | institucion | Es un COLEGIO K-12 privado en Research, Victoria (CRICOS 00138D), no un proveedor de cursos: no tiene catalogo enumerable. `tipo_adivinado`="curso_corto" es incorrecto y `puede_vender` esta vacio. OJO NOMBRE AMBIGUO: existe otro "Eltham College" en Londres (UK); el de esta ficha es el australiano — no confundirlos en la extraccion posterior ni en busquedas. Internacionales via /admissions/international-student-admission.

Monash University | bloquea | www.monash.edu | ? | ? | ? | ? | ? | institucion | Cloudflare MANAGED CHALLENGE, no sitio caido: devuelve 403 con pagina "Just a moment..." y header `Cf-Mitigated: challenge`, con UA de Chrome, tanto en www.monash.edu como en el apex monash.edu. DNS resuelve OK. El sitio esta VIVO pero no es auditable ni extraible por fetch — requiere navegador real con JS y cookies. Mismo caso que James Cook y UTas en el lote 05: si la extraccion posterior depende de HTTP plano, estas tres fichas fallaran en silencio.

The University of Newcastle (UoN) | bloquea | www.newcastle.edu.au (el apex hace 301 a www) | ? | ? | ? | ? | ? | institucion | Cloudflare managed challenge (403, `Cf-Mitigated: challenge`, "Just a moment...") con UA de Chrome. DNS resuelve OK y el apex redirige normalmente a www antes de toparse con el challenge. Sitio vivo, no auditable por fetch. Nota aparte: `tipo_adivinado`="curso_corto" para una universidad publica australiana grande es sospechoso, `category` y `partner_group` estan en null y `puede_vender` vacio — la ficha esta practicamente sin llenar.

Browns English Language School | redirige | brownsenglish.edu.au (desde www.brownsenglish.edu.au) | BROWNS English Language School Pty Ltd trading as BROWNS English Language School y BROWNS Professional | si | https://brownsenglish.edu.au/courses/ | 15+ | Ingles general y academico, IELTS, Junior Programs (primaria y secundaria), Study + Work (vocacional via BROWNS Professional) | institucion | El www de la ficha redirige al apex — corregir. RTO 31998 / CRICOS 02663M, sin grupo matriz. FICHA VACIA vs realidad: `category`=null, `partner_group`=null, `ciudad`=null y `puede_vender`=[] , pero la escuela vende claramente Idiomas + programas junior + vocacional y opera tres campus (Brisbane, Gold Coast, Melbourne). Declara 140+ pathways hacia universidades y colleges: hay oferta comercial real que la ficha no captura.

# RESUMEN: ok=5 muertos=1 redirigen=4 nombre_distinto=1 no_institucion=3 duplicados=0 fantasmas=1
