# Lote 23 - 2026-08-07
institucion | nombre | nivel | area | duracion | codigo_oficial | url_fuente
De Montfort University | Architecture and Sustainability MSc | maestria | Arquitectura | 12 months | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/architecture-and-sustainability-msc-degree/architecture-and-sustainability-msc-degree.aspx
De Montfort University | Architecture BA (Hons) | bachelor | Arquitectura | 3 yrs full-time | K100 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/architecture-ba-degree/architecture-ba-degree.aspx
De Montfort University | Architecture MArch | maestria | Arquitectura | Two years full-time, three years part-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/architecture-march-degree/architecture-march-degree.aspx
De Montfort University | Art and Design Foundation Diploma | curso_corto | Artes | One year full-time | W90002 | https://www.dmu.ac.uk/study/courses/foundation-courses/art-and-design-foundation-diploma/art-and-design-foundation-diploma.aspx
De Montfort University | Artificial Intelligence BSc (Hons) | bachelor | Tecnología | 3 yrs full-time | I270 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/artificial-intelligence-bsc-degree/artificial-intelligence-bsc-hons.aspx
De Montfort University | Artificial Intelligence MSc/PG Dip/PG Cert | maestria | Tecnología | 12 months (September start), 18 months (January start) | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/artificial-intelligence-msc/artificial-intelligence-msc.aspx
De Montfort University | Arts and Festivals Management | bachelor | Artes | 3 yrs full-time, 4 yrs with placement. 6 yrs part-time | N820 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/arts-and-festivals-management-ba-degree/arts-and-festivals-management-ba-degree.aspx
De Montfort University | Automotive Engineering BEng/MEng | bachelor | Ingeniería | BEng: 3 yrs full-time / MEng: 4 yrs full-time | H330 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/automotive-engineering/automotive-engineering.aspx
De Montfort University | Biomedical Engineering BEng/MEng (Hons) | bachelor | Ingeniería | BEng: 3 yrs full-time / MEng: 4 yrs full-time | BEng: H530 / MEng: H531 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/biomedical-engineering/biomedical-engineering.aspx
De Montfort University | Biomedical Science BSc (Hons) | bachelor | Ciencias | 3 yrs full-time, 4 yrs with placement | B940 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/biomedical-science-bsc-hons-degree/biomedical-science-bsc-hons.aspx
De Montfort University | Business and Marketing BA (Hons) | bachelor | Negocios | 3 yrs full-time, 4 yrs with placement | NN15 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/business-and-marketing-ba-degree/business-and-marketing-ba-hons.aspx
De Montfort University | Business Data Analytics BSc (Hons) | bachelor | Negocios | 3 yrs full-time, 4 yrs with placement | G530 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/business-data-analytics-bsc/business-data-analytics-bsc.aspx
De Montfort University | Business Entrepreneurship and Innovation CertHE | pregrado | Negocios | 1 year full-time | N150 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/business-entrepreneurship-and-innovation-certhe/business-entrepreneurship-and-innovation-certhe.aspx
De Montfort University | Business HND | pregrado | Negocios | 2 years full-time | 422N | https://www.dmu.ac.uk/study/courses/undergraduate-courses/business-hnd/business-hnd.aspx
De Montfort University | Business Information Systems BSc (Hons) | bachelor | Tecnología | 3 yrs full-time, 4 yrs with placement | IN21 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/business-information-systems-bsc-degree/business-information-systems-bsc-degree.aspx
De Montfort University | Business Management BA (Hons) | bachelor | Negocios | 3 yrs full-time, 4 yrs with placement | NN12 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/business-and-management-ba-degree/business-and-management-ba-hons.aspx
De Montfort University | Business of Motorsport MA Online (Apply direct with National Motorsport Academy) (Online) | maestria | Negocios | 1 year Full-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/partners/business-of-motorsport-ma-online.aspx
De Montfort University | Business of Motorsport PG Cert Online (Apply direct with National Motorsport Academy) (Online) | posgrado | Negocios | 4 months Full-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/partners/business-of-motorsport-pg-cert-online.aspx
De Montfort University | Business of Motorsport PG Diploma Online (Apply direct with National Motorsport Academy) (Online) | posgrado | Negocios | 8 months Full-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/partners/business-of-motorsport-pg-dip-online.aspx
De Montfort University | Business, Entrepreneurship and Innovation BA (Hons) | bachelor | Negocios | 3 yrs full-time, 4 yrs with placement | NN21 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/business-entrepreneurship-and-innovation-ba-degree/business-entrepreneurship-and-innovation-ba-hons.aspx
De Montfort University | Child Nursing BSc (Hons) with NMC registration | bachelor | Enfermería | 3 yrs full-time | B702 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/nursing-with-registration-child-nursing-degree/nursing-with-registration-child-nursing-bsc-hons.aspx
De Montfort University | Computer Games Programming BSc (Hons) | bachelor | Tecnología | 3 yrs full-time, 4 yrs with placement | G624 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/computer-games-programming-bsc-degree/computer-games-programming-bsc-degree.aspx
De Montfort University | Computer Networks and Security | bachelor | Tecnología | 3 yrs full-time | G450 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/computer-networks-and-security/computer-networks-security-bsc.aspx
De Montfort University | Computer Science BSc (Hons) | bachelor | Tecnología | 3 yrs full-time | G400 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/computer-science-bsc-degree/computer-science-bsc-degree.aspx
De Montfort University | Computing MSc/PG Dip/PG Cert | maestria | Tecnología | 12 months (September start), 18 months (January start) | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/computing/computing-msc-degree.aspx
De Montfort University | Concept and Comic Arts BA (Hons) | bachelor | Artes | 3 yrs full-time | W223 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/concept-and-comic-art-ba/concept-comic-art-ba-degree.aspx
De Montfort University | Contemporary Art Practice MA | maestria | Artes | One year full-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/contemporary-art-practice-degree/contemporary-art-practice-degree.aspx
De Montfort University | Contour Fashion BA (Hons) | bachelor | Moda | 3 yrs full-time | W235 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/contour-fashion-ba-degree/contour-fashion-ba-degree.aspx
De Montfort University | Contour Fashion Innovation MA/MSc | maestria | Moda | One year full-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/contour-fashion-innovation-ma-degree/contour-fashion-innovation-ma-degree.aspx
De Montfort University | Cosmetic Science MSc | maestria | Farmacia | One year full-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/cosmetic-science-msc/cosmetic-science.aspx
De Montfort University | Creative Design Management (Level 6 Top-up) BA (Hons) | bachelor | Diseño | 1 year full-time | W233 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/creative-design-management/creative-design-management-level-6-top-up.aspx
De Montfort University | Creative Writing and Drama BA (Hons) | bachelor | Artes | 3 yrs full-time | W905 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/creative-writing-drama/creative-writing-and-drama.aspx
De Montfort University | Creative Writing and English Literature BA (Hons) | bachelor | Artes | 3 yrs full-time | W899 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/creative-writing-english-literature/creative-writing-english-literature.aspx
De Montfort University | Creative Writing BA (Hons) | bachelor | Artes | 3 yrs full-time | W800 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/creative-writing-ba-degree/creative-writing-ba-degree.aspx
De Montfort University | Creative Writing MA | maestria | Artes | One year full-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/creative-writing-ma-degree/creative-writing-ma-degree.aspx
De Montfort University | Creative Writing with Education Studies BA (Hons) | bachelor | Educación | 3 yrs full-time | W850 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/creative-writing-and-education-studies/creative-writing-with-education-studies.aspx
De Montfort University | Cricket Management PG Cert (Online) | posgrado | Deporte | Eight months part-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/cricket-management/cricket-management.aspx
De Montfort University | Criminal Investigation and Policing Studies BA (Hons) | bachelor | Ciencias Sociales | 3 yrs full-time | 5LN3 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/criminal-investigation-policing-ba-hons-degree/criminal-investigation-with-policing-studies-ba-hons.aspx
De Montfort University | Criminology BA (Hons) | bachelor | Ciencias Sociales | 3 yrs full-time | L390 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/criminology-ba-hons-degree/criminology-ba-hons.aspx
De Montfort University | Criminology with Psychology BA (Hons) | bachelor | Ciencias Sociales | 3 yrs full-time | L3C8 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/criminology-with-psychology-ba-hons-degree/criminology-with-psychology-ba-hons.aspx
De Montfort University | Cultural Events Management MSc | maestria | Artes | One year full-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/cultural-events-management-msc-degree/cultural-events-management-msc-degree.aspx
De Montfort University | Cyber Security BSc (Hons) | bachelor | Tecnología | 3 yrs full-time | G550 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/cyber-security-bsc-degree/cyber-security-bsc-hons.aspx
De Montfort University | Cyber Security MSc/PG Dip/PG Cert | maestria | Tecnología | One year full time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/cyber-security/cyber-security-msc-degree.aspx
De Montfort University | Cyber Security Technologist CertHe (HTQ) | pregrado | Tecnología | 1 year full-time (2 evenings per week), 2 years part-time (1 evening per week) | I120 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/cyber-security-technologist-htq-certhe/cyber-security-technologist-certhe.aspx
De Montfort University | Dance BA (Hons) | bachelor | Artes | 3 yrs full-time, 4 yrs with placement | W500 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/dance-ba-degree/dance-ba-degree.aspx
De Montfort University | Data Analytics MSc/PG Dip/PG Cert | maestria | Tecnología | 12 months (September start), 18 months (January start) | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/data-analytics-msc-degree/data-analytics-msc-degrees.aspx
De Montfort University | Degree in Professional Policing BA (Hons) | bachelor | Ciencias Sociales | 3 yrs full-time | 5N23 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/policing-ba-hons-degree/policing-ba-hons.aspx
De Montfort University | Design Crafts BA (Hons) | bachelor | Diseño | 3 yrs full-time, 4 yrs with placement | W200 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/design-crafts-ba-degree/design-crafts-ba-degree.aspx
De Montfort University | Design for Outdoor Living BA (Hons) Online (Apply direct with National Design Academy) (Online) | bachelor | Diseño | no indicada | - | https://www.dmu.ac.uk/study/courses/undergraduate-courses/partners/design-for-outdoor-living-ba-hons-online.aspx
De Montfort University | Design for Outdoor Living BA (Hons) Top-Up Online (Apply direct with National Design Academy) (Online) | bachelor | Diseño | no indicada | - | https://www.dmu.ac.uk/study/courses/undergraduate-courses/partners/design-for-outdoor-living-ba-hons-top-up-online.aspx
De Montfort University | Design Innovation and Management MA/MSc | maestria | Diseño | One year full-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/design-innovation-and-management-degree/design-innovation-and-management-degree.aspx
De Montfort University | Design research degree MPhil/PhD | doctorado | Diseño | no indicada | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/design-research-mphil-phd-degree/design-research-mphil-phd-degree.aspx
De Montfort University | Diagnostic Radiography BSc (Hons) | bachelor | Salud | 3 yrs full-time | B821 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/diagnostic-radiography-bsc-hons/diagnostic-radiography-bsc-hons.aspx
De Montfort University | Digital Design MA/MSc | maestria | Diseño | One year full-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/digital-design-ma-degree/digital-design-ma-degree.aspx
De Montfort University | Digital Forensics MSc | maestria | Tecnología | One year full time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/digital-forensics/digital-forensics-msc-degree.aspx
De Montfort University | Digital Technologies: AI Solutions & Applications HNC | pregrado | Tecnología | 1 year full-time (2 evenings per week), 2 years part-time (1 evening per week) | I102 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/digital-technologies-ai-solutions-applications-hnc/digital-technologies-ai-solutions-applications-hnc.aspx
De Montfort University | Digital Technologies: Data Analytics HNC | pregrado | Tecnología | 1 year full-time (2 evenings per week), 2 years part-time (1 evening per week) | I200 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/digital-technologies-data-analytics-hnc/digital-technologies-data-analytics-hnc.aspx
De Montfort University | Digital Technologies: Software Development & Programming HNC | pregrado | Tecnología | 1 year full-time (2 evenings per week), 2 years part-time (1 evening per week) | I300 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/digital-technologies-software-development-hnc/digital-technologies-software-development-and-programming-hnc.aspx
De Montfort University | Doctor of Business Administration DBA | doctorado | Negocios | Full-time: three years (with the chance to take an extra year of study) | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/dba/doctor-of-business-administration-dba.aspx
De Montfort University | Drama and Theatre Arts BA (Hons) | bachelor | Artes | 3 yrs full-time | W400 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/drama-ba-degree/drama-ba-degree.aspx
De Montfort University | Early Years Education with SEND and SLCN | pregrado | Educación | Two years full-time | X310 | https://www.dmu.ac.uk/study/courses/foundation-courses/early-years-education/early-years-education.aspx
De Montfort University | Economics BSc (Hons) | bachelor | Negocios | 3 yrs full-time | L102 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/economics-bsc/economics-bsc.aspx
De Montfort University | Education Practice MA/PG Dip/PG Cert | maestria | Educación | One year full-time or two years part-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/education-practice-mapg-dippg-cert/education-practice.aspx
De Montfort University | Education Studies BA (Hons) | bachelor | Educación | 3 yrs full-time | X300 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/education-studies-ba-hons-degree/education-studies-ba-hons.aspx
De Montfort University | Education Studies with Mandarin BA (Hons) | bachelor | Educación | 3 yrs full-time | XR40 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/education-studies-with-mandarin-ba-hons-degree/education-studies-with-mandarin.aspx
De Montfort University | Education Studies with Psychology BA (Hons) | bachelor | Educación | 3 yrs full-time | X3C8 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/education-studies-with-psychology-ba-hons-degree/education-studies-with-psychology-ba-hons.aspx
De Montfort University | Electrical and Electronic Engineering BEng/MEng (Hons) | bachelor | Ingeniería | BEng: 3 yrs full-time MEng: 4 yrs full-time | BEng (Hons): H600 / MEng (Hons): H601 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/electrical-and-electronic-engineering/electrical-electronic-engineering.aspx
De Montfort University | Electronic Engineering MSc/PG Dip/PG Cert | maestria | Ingeniería | 12 months (September start), 16 months (January start) | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/electronic-engineering/electronic-engineering-msc-degree.aspx
De Montfort University | Energy and Sustainable Development MSc/PG Dip/PG Cert | maestria | Ingeniería | 12 months (September start), 16 months (January start) | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/energy-and-sustainable-development/energy-and-sustainable-development-msc-degree.aspx
De Montfort University | Energy Engineering MSc | maestria | Ingeniería | 12 months (September start), 16 months (January start) | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/energy-engineering-msc/energy-engineering-msc.aspx
De Montfort University | Engineering Management MSc | maestria | Ingeniería | Full-time: 12 months (September start), 16 months (January start), part-time: 24 months (September start), 28 months... | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/engineering-management/engineering-management-msc-degree.aspx
De Montfort University | Engineering Year Zero | curso_corto | Ingeniería | 1 yr full-time | H108 | https://www.dmu.ac.uk/study/courses/foundation-courses/engineering-year-zero/engineering-year-zero.aspx
De Montfort University | English Literature BA (Hons) | bachelor | Artes | 3 yrs full-time | Q300 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/english-literature-ba-degree/english-literature-ba-degree.aspx
De Montfort University | English Literature with Education Studies BA (Hons) | bachelor | Educación | 3 yrs full-time | Q320 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/english-literature-education-studies/english-literature-education-studies.aspx
De Montfort University | English Literature with Mandarin BA (Hons) | bachelor | Artes | 3 yrs full-time | Q3T1 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/english-literature-with-modern-languages-ba-degree/english-literature-with-modern-languages-ba-degree.aspx
De Montfort University | Executive Master of Business Administration (Executive MBA) Top-up | mba | Negocios | 10 months part-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/executive-mba/executive-master-of-business-administration-mba.aspx
De Montfort University | Fashion and Textiles MA | maestria | Moda | One year full-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/fashion-and-textiles-ma-degree/fashion-and-textiles-ma-degree.aspx
De Montfort University | Fashion Buying with Design BA (Hons) | bachelor | Moda | 3 yrs full-time | W224 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/fashion-buying-with-design-ba-degree/fashion-buying-with-design-ba-degree.aspx
De Montfort University | Fashion Communication and Styling BA (Hons) | bachelor | Moda | 3 yrs full-time | W234 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/fashion-communication-and-styling-ba-degree/fashion-communication-and-styling-ba-degree.aspx
De Montfort University | Fashion Design BA (Hons) | bachelor | Moda | 3 yrs full-time | W230 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/fashion-design-ba-degree/fashion-design-ba-degree.aspx
De Montfort University | Fashion Management (Level 6 Top Up) BA (Hons) | bachelor | Moda | One year full-time | W23060 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/fashion-management-ba-degree/fashion-management-ba-degree.aspx
De Montfort University | Fashion Management with Marketing MA/MSc | maestria | Moda | September: 12 months | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/fashion-management-with-marketing-ma-degree/fashion-management-with-marketing-ma-degree.aspx
De Montfort University | Fashion Marketing BA (Hons) | bachelor | Moda | 3 yrs full-time | WN45 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/fashion-marketing-ba/fashion-marketing-ba-hons.aspx
De Montfort University | Fashion Textile Design BA (Hons) | bachelor | Moda | 3 yrs full-time | WW2S | https://www.dmu.ac.uk/study/courses/undergraduate-courses/fashion-textile-design-ba-degree/fashion-textile-design-ba-degree.aspx
De Montfort University | Film Studies BA (Hons) | bachelor | Medios y Comunicación | 3 yrs full-time, 4 yrs with placement | P303 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/film-studies-ba-degree/film-studies-ba-degree.aspx
De Montfort University | Filmmaking BA (Hons) | bachelor | Medios y Comunicación | 3 yrs full-time, 4 yrs with placement | P313 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/filmmaking-ba/filmmaking-ba.aspx
De Montfort University | Finance and Banking MSc | maestria | Negocios | One year full-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/finance-and-banking-msc-degree/finance-and-banking-msc.aspx
De Montfort University | Finance and Investment BSc (Hons) | bachelor | Negocios | 3 yrs full-time, 4 yrs with placement | N301 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/finance-and-investment/finance-and-investment-bsc.aspx
De Montfort University | Financial Technology (FinTech), AI and Business Analytics MSc | maestria | Negocios | One year full-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/financial-technology-msc/financial-technology-msc.aspx
De Montfort University | Fine Art BA (Hons) | bachelor | Artes | 3 yrs full-time | W100 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/fine-art-ba-degree/fine-art-ba-degree.aspx
De Montfort University | Footwear Design BA (Hons) | bachelor | Moda | 3 yrs full-time | WWF7 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/footwear-design-ba-degree/footwear-design-ba-degree.aspx
De Montfort University | Footwear Innovation (Level 6 Top-up) | bachelor | Moda | 1 year full-time, 2 years part-time | WWF9 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/footwear-innovation-level-6-top-up/footwear-innovation-level-6-top-up.aspx
De Montfort University | Forensic Science BSc (Hons)/MSci | bachelor | Ciencias | 3 yrs full-time | BSc: F410 MSci: F411 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/forensic-science/forensic-science-bsc-msci-degree.aspx
De Montfort University | Game Art BA (Hons) | bachelor | Artes | 3 yrs full-time | W291 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/game-art-ba-degree/game-art-ba-degree.aspx
De Montfort University | Games Production BSc (Hons) | bachelor | Tecnología | 3 yrs full-time, 4 yrs with placement | I453 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/games-production-bsc/games-production-bsc-degree.aspx
De Montfort University | Global Arts Management (Level 6 Top-Up) | bachelor | Artes | 1 yr full-time | N2V3 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/global-arts-management-top-up/global-arts-management-level-6-top-up-ba-hons.aspx
De Montfort University | Global Health MSc/PG Dip/PG Cert | maestria | Salud | One year full-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/global-health-msc/global-health-msc.aspx
De Montfort University | Graphic Design and e-Media FdA (Apply direct with Leicester College) | pregrado | Diseño | Two years full-time | - | https://www.dmu.ac.uk/study/courses/undergraduate-courses/graphic-design-and-e-media-foundation-degree/graphic-design-and-e-media-foundation-degree.aspx
De Montfort University | Graphic Design BA (Hons) | bachelor | Diseño | 3 yrs full-time | W219 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/graphic-design-degree/graphic-design-ba-degree.aspx
De Montfort University | Health and Wellbeing in Society BSc (Hons) | bachelor | Salud | 3 yrs full-time | B991 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/health-and-wellbeing-in-society-ba-hons-degree/health-and-wellbeing-in-society-bsc-hons.aspx
De Montfort University | Health Psychology MSc/PG Dip/PG Cert | maestria | Psicología | One year full-time | - | https://www.dmu.ac.uk/study/courses/postgraduate-courses/health-psychology-mscpg-dippg-cert/health-psychology.aspx
De Montfort University | Healthcare Science (Audiology) | bachelor | Salud | 3 yrs full-time | B61A | https://www.dmu.ac.uk/study/courses/undergraduate-courses/healthcare-science-audiology-bsc-hons-degree/healthcare-science-audiology-bsc-hons.aspx
De Montfort University | Hearing Aid Audiology FdSc | pregrado | Salud | Approx 18.5 months (includes final submission) with two intakes per year in October and March | - | https://www.dmu.ac.uk/study/courses/undergraduate-courses/hearing-aid-audiology/hearing-aid-audiology-fdsc.aspx
De Montfort University | Heritage Interior Design BA (Hons) Online (Apply direct with National Design Academy) (Online) | bachelor | Diseño | no indicada | - | https://www.dmu.ac.uk/study/courses/undergraduate-courses/partners/heritage-interior-design-ba-hons-online.aspx
De Montfort University | Heritage Interior Design BA (Hons) Top-Up Online (Apply direct with National Design Academy) (Online) | bachelor | Diseño | no indicada | - | https://www.dmu.ac.uk/study/courses/undergraduate-courses/partners/heritage-interior-design-ba-hons-top-up-online.aspx
De Montfort University | History BA (Hons) | bachelor | Artes | 3 yrs full-time | V100 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/history-ba-degree/history-ba-degree.aspx
De Montfort University | History with Education Studies BA (Hons) | bachelor | Artes | 3 yrs full-time | V125 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/history-with-education-studies/history-with-education-studies.aspx
De Montfort University | History with Mandarin BA (Hons) | bachelor | Artes | 3 yrs full-time | V1T1 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/history-with-modern-languages-ba-degree/history-with-modern-languages-ba-degree.aspx
De Montfort University | History, Politics and International Relations BA (Hons) | bachelor | Ciencias Sociales | 3 yrs full-time | LVF2 | https://www.dmu.ac.uk/study/courses/undergraduate-courses/history-politics-and-international-relations-ba/history-politics-international-relations-ba-degree.aspx
