lote,linea,motivo,contenido
05,1,tiene 1 columnas y deben ser 7,﻿# Lote 05 · 2026-08-07
11,-,extracción superada por el lote 35,Torrens University Australia | Key Attributes of Software Engineering Leaders
11,-,extracción superada por el lote 35,Torrens University Australia | Business Growth Strategy
11,-,extracción superada por el lote 35,Torrens University Australia | Capital Investment Process
11,-,extracción superada por el lote 35,Torrens University Australia | Developing Goals for Emerging Market Entry
11,-,extracción superada por el lote 35,Torrens University Australia | Inside the Mind of Chinese Consumers
11,-,extracción superada por el lote 35,Torrens University Australia | Preparing Your Company for Emerging Market Entry
11,-,extracción superada por el lote 35,Torrens University Australia | Quantitative vs. Qualitative Data
11,-,extracción superada por el lote 35,Torrens University Australia | Secure Failure
11,-,extracción superada por el lote 35,Torrens University Australia | Source Control
11,-,extracción superada por el lote 35,Torrens University Australia | Strategic Pricing for Revenue
11,-,extracción superada por el lote 35,Torrens University Australia | Understanding Competitive Advantage
11,-,extracción superada por el lote 35,Torrens University Australia | Pitch a Concept to Stakeholders
11,-,extracción superada por el lote 35,Torrens University Australia | User Stories
11,-,extracción superada por el lote 35,Torrens University Australia | Building Confidence in the Digital Classroom
11,-,extracción superada por el lote 35,Torrens University Australia | Advanced Project Management
11,-,extracción superada por el lote 35,Torrens University Australia | Crisis Management Planning
11,-,extracción superada por el lote 35,Torrens University Australia | Recovering from Crisis
11,-,extracción superada por el lote 35,Torrens University Australia | Content Marketing Dynamics
11,-,extracción superada por el lote 35,Torrens University Australia | Managing Customer Reviews
11,-,extracción superada por el lote 35,Torrens University Australia | Search Engine Optimisation and Marketing
11,-,extracción superada por el lote 35,Torrens University Australia | Reflective Practice for Professional Development
11,-,extracción superada por el lote 35,Torrens University Australia | Connecting with Telehealth
11,-,extracción superada por el lote 35,Torrens University Australia | Principles of Ethical Research
11,-,extracción superada por el lote 35,Torrens University Australia | Creative and Critical Thinking
11,-,extracción superada por el lote 35,Torrens University Australia | Leadership Essentials
11,-,extracción superada por el lote 35,Torrens University Australia | Interpersonal and Workplace Essentials
11,-,extracción superada por el lote 35,Torrens University Australia | Championing Organisational Change and Driving Impact
11,-,extracción superada por el lote 35,Torrens University Australia | Digital Innovation Essentials
11,-,extracción superada por el lote 35,Torrens University Australia | Digital Marketing Essentials
11,-,extracción superada por el lote 35,Torrens University Australia | Sport and Society
11,-,extracción superada por el lote 35,Torrens University Australia | Sport Leadership in a New World
11,-,extracción superada por el lote 35,Torrens University Australia | Sport and Human Rights
11,-,extracción superada por el lote 35,Torrens University Australia | Sport as a Voice for Change
11,-,extracción superada por el lote 35,Torrens University Australia | Challenging ageism for everyone
11,-,extracción superada por el lote 35,Torrens University Australia | Challenging ageism in health and aged care settings
11,-,extracción superada por el lote 35,Torrens University Australia | Interior Design and Decoration short course
24,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Business (Hospitality and Tourism Management)
24,-,extracción superada por el lote 35,Torrens University Australia | Associate Degree of Business (Hospitality and Tourism Management)
24,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Business (Hospitality and Tourism Management)
24,-,extracción superada por el lote 35,Torrens University Australia | Diploma of Business (International Hotel Management)
24,-,extracción superada por el lote 35,Torrens University Australia | Bachelor of Business (International Hotel Management)
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | General English (Beginner to Upper Intermediate)
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Certificate III in Individual Support (Ageing)
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Certificate III in Individual Support (Disability)
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Certificate III in Individual Support (Ageing and Disability)
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Diploma of Remedial Massage
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Certificate IV in Massage Therapy
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Diploma of Community Services
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Diploma of Early Childhood Education and Care
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Certificate III in Air Conditioning and Refrigeration
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Advanced Diploma of Air Conditioning and Refrigeration Engineering
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Certificate III in Light Vehicle Mechanical Technology
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Certificate IV in Automotive Mechanical Diagnosis
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Certificate IV in Automotive Electrical Technology
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Diploma of Automotive Management
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Advanced Diploma of Information Technology (Telecommunications Network Engineering)
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Certificate III in Painting and Decorating
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Diploma of Logistics
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Advanced Diploma of Supply Chain Management
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Diploma of Hospitality Management
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Advanced Diploma of Hospitality Management
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Certificate III in Patisserie
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Certificate IV in Patisserie
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Certificate III in Commercial Cookery
03,-,duplicado (misma institución y nombre),Australia Institute of Business and Technology | Certificate IV in Kitchen Management
04,-,duplicado (misma institución y nombre),Academies Australasia | General English
04,-,duplicado (misma institución y nombre),Academies Australasia | Diploma of Hospitality Management
04,-,duplicado (misma institución y nombre),Academies Australasia | Diploma of Leadership and Management
04,-,duplicado (misma institución y nombre),Academies Australasia | Advanced Diploma of Leadership and Management
04,-,duplicado (misma institución y nombre),Academies Australasia | Diploma of Project Management
04,-,duplicado (misma institución y nombre),Academies Australasia | Advanced Diploma of Program Management
06,-,duplicado (misma institución y nombre),Taylors College | High Achievers Preparation Program (HAPP)
07,-,duplicado (misma institución y nombre),SRH University | Classical Music
07,-,duplicado (misma institución y nombre),SRH University | Photography
07,-,duplicado (misma institución y nombre),SRH University | World Music
07,-,duplicado (misma institución y nombre),Flinders University | Clinical Education
07,-,duplicado (misma institución y nombre),Flinders University | Master of Clinical Epidemiology
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Accounting
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Business
09,-,duplicado (misma institución y nombre),"Adelaide University | Bachelor of Business (Economics, Finance and Trade)"
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Business (Financial Planning)
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Business (Management)
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Business majoring in Digital Business
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Business majoring in Human Resource Management
09,-,duplicado (misma institución y nombre),"Adelaide University | Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy"
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Business majoring in International Business
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Business majoring in Management
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Business majoring in Marketing
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Business majoring in Marketing and Design
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Business majoring in Procurement and Supply Chain Management
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Business majoring in Project Management
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Commerce majoring in Accounting
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Commerce majoring in Accounting and Business Analytics
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Commerce majoring in Accounting and Finance
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Commerce majoring in Accounting and Financial Planning
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Commerce majoring in Accounting and Property
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Commerce majoring in Banking and Finance
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Commerce majoring in Business Analytics
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Commerce majoring in Business Analytics and Finance
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Commerce majoring in Business Analytics and Financial Planning
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Commerce majoring in Finance and Property
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Commerce majoring in Financial Planning
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Commerce majoring in Financial Planning and Property
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Commerce majoring in Property
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Digital Business
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Economics
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Economics (Honours)
09,-,duplicado (misma institución y nombre),Adelaide University | Bachelor of Economics majoring in Advanced Analysis
09,-,duplicado (misma institución y nombre),"Adelaide University | Bachelor of Philosophy, Politics and Economics"
09,-,duplicado (misma institución y nombre),Adelaide University | Global Executive Master of Business Administration (Defence and Space)
09,-,duplicado (misma institución y nombre),Adelaide University | Graduate Certificate in Business
09,-,duplicado (misma institución y nombre),Adelaide University | Graduate Certificate in Business (Digital Transformation)
09,-,duplicado (misma institución y nombre),Adelaide University | Graduate Certificate in Business Administration
09,-,duplicado (misma institución y nombre),Adelaide University | Graduate Certificate in Commerce
09,-,duplicado (misma institución y nombre),Adelaide University | Graduate Certificate in Global Executive Business Administration in Defence and Space
09,-,duplicado (misma institución y nombre),Adelaide University | Graduate Certificate in Project Management
09,-,duplicado (misma institución y nombre),Adelaide University | Graduate Certificate in Research Design
09,-,duplicado (misma institución y nombre),Adelaide University | Graduate Certificate in Wine and Food Business
09,-,duplicado (misma institución y nombre),Adelaide University | Graduate Diploma in Business Administration
09,-,duplicado (misma institución y nombre),Adelaide University | Graduate Diploma in International Business
09,-,duplicado (misma institución y nombre),Adelaide University | Graduate Diploma in Management
09,-,duplicado (misma institución y nombre),Adelaide University | Graduate Diploma in Procurement and Supply Chain Management
09,-,duplicado (misma institución y nombre),Adelaide University | Graduate Diploma in Wine and Food Business
09,-,duplicado (misma institución y nombre),Adelaide University | International Master of Business Administration
09,-,duplicado (misma institución y nombre),Adelaide University | International Master of Business Administration specialising in Business Analytics
09,-,duplicado (misma institución y nombre),Adelaide University | International Master of Business Administration specialising in Finance
09,-,duplicado (misma institución y nombre),Adelaide University | International Master of Business Administration specialising in Human Resource Management
09,-,duplicado (misma institución y nombre),Adelaide University | International Master of Business Administration specialising in Marketing
09,-,duplicado (misma institución y nombre),Adelaide University | International Master of Business Administration specialising in Procurement and Supply Chain Management
09,-,duplicado (misma institución y nombre),Adelaide University | International Master of Business Administration specialising in Project Management
09,-,duplicado (misma institución y nombre),Adelaide University | Master of Accounting
09,-,duplicado (misma institución y nombre),Adelaide University | Master of Accounting and Business Analytics
09,-,duplicado (misma institución y nombre),Adelaide University | Master of Accounting and Finance
09,-,duplicado (misma institución y nombre),Adelaide University | Master of Applied Finance
09,-,duplicado (misma institución y nombre),Adelaide University | Master of Business Administration
09,-,duplicado (misma institución y nombre),Adelaide University | Master of Business Administration specialising in Finance
09,-,duplicado (misma institución y nombre),Adelaide University | Master of Business Administration specialising in Human Resource Management
09,-,duplicado (misma institución y nombre),Adelaide University | Master of Business Administration specialising in Marketing
09,-,duplicado (misma institución y nombre),Adelaide University | Master of Economics and Resource Policy
09,-,duplicado (misma institución y nombre),Adelaide University | Master of Economics and Resource Policy specialising in Economic Analysis
09,-,duplicado (misma institución y nombre),Adelaide University | Master of Economics and Resource Policy specialising in Global Food and Agribusiness
09,-,duplicado (misma institución y nombre),Adelaide University | Master of Economics and Resource Policy specialising in International Trade
09,-,duplicado (misma institución y nombre),Adelaide University | Master of Economics and Resource Policy specialising in Public Economics and Policy
