lote,institucion,nombre,nivel,area,duracion,codigo_oficial,url_fuente
01,Florida Atlantic University,"Accounting (B.S., B.B.A.)",bachelor,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Accounting (M.AC.),maestria,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Anthropology (B.A.),bachelor,Ciencias Sociales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Anthropology (M.A.T., M.A.)",maestria,Ciencias Sociales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Architecture (B.Arch.),bachelor,Arquitectura,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Art (B.F.A.),bachelor,Artes,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Art (B.A.),bachelor,Artes,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Art Education (B.F.A., B.A.)",bachelor,Artes,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Artificial Intelligence (M.S.),maestria,Tecnología,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Biological and Physical Sciences (B.S., B.A.)",bachelor,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Biological Sciences (B.S., B.A.)",bachelor,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Biological Sciences (M.S.T., M.S.)",maestria,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Biomedical Engineering (M.S.),maestria,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Biomedical Science (M.S.),maestria,Salud,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Business Administration (M.B.A.),mba,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Business Administration (Ph.D.),doctorado,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Business Analytics (M.S.),maestria,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Business Biotechnology (P.S.M.),maestria,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Chemistry (B.S.),bachelor,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Chemistry (B.A.),bachelor,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Chemistry (M.S.T., M.S.)",maestria,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Chemistry (Ph.D.),doctorado,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Civil Engineering (B.S.C.V.),bachelor,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Civil Engineering (M.S.),maestria,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Commercial Music (B.M.),bachelor,Artes,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Communication (M.A.),maestria,Comunicación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Communication Studies (B.A.),bachelor,Comunicación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Comparative Studies (Ph.D.),doctorado,Humanidades,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Computer Engineering (B.S.C.E.),bachelor,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Computer Engineering (M.S.),maestria,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Computer Engineering (Ph.D.),doctorado,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Computer Science (B.S.C.S., B.A.C.S.)",bachelor,Tecnología,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Computer Science (M.S.),maestria,Tecnología,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Computer Science (Ph.D.),doctorado,Tecnología,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Counselor Education (M.Ed.),maestria,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Counselor Education (Ed.S.),posgrado,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Counselor Education (Ph.D.),doctorado,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Creative Writing (M.F.A.),maestria,Artes,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Criminal Justice (B.A.),bachelor,Ciencias Sociales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Curriculum and Instruction (M.Ed.),maestria,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Curriculum and Instruction (Ed.S.),posgrado,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Curriculum and Instruction (Ph.D.),doctorado,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Data Science and Analytics (M.S. · Arts & Letters),maestria,Tecnología,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Data Science and Analytics (B.S. · Business),bachelor,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Data Science and Analytics (M.S. · Business),maestria,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Data Science and Analytics (B.S. · Engineering and Computer Science),bachelor,Tecnología,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Data Science and Analytics (M.S. · Engineering and Computer Science),maestria,Tecnología,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Data Science and Analytics (B.S. · Science),bachelor,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Data Science and Analytics (M.S. · Science),maestria,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Early Care and Education (B.E.C.E.),bachelor,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Economics (B.S., B.B.A.)",bachelor,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Economics (M.S.T.),maestria,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Economics (M.S.),maestria,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Educational Leadership (M.Ed.),maestria,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Educational Leadership (Ed.S.),posgrado,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Educational Leadership (Ph.D.),doctorado,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Educational Psychology (M.Ed.),maestria,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Electrical Engineering (B.S.E.E.),bachelor,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Electrical Engineering (M.S.),maestria,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Electrical Engineering (Ph.D.),doctorado,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Elementary Education (B.A., B.A.E.)",bachelor,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Elementary Education (M.Ed.),maestria,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,English (B.A.),bachelor,Humanidades,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,English (M.A.),maestria,Humanidades,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"English Education (B.A., B.A.E.)",bachelor,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Environmental Education (M.Ed.),maestria,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Environmental Engineering (B.S.E.V.),bachelor,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Environmental Science (M.S.),maestria,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Exceptional Student Education (M.Ed.),maestria,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Exceptional Student Education: ESOL Endorsement (B.A., B.A.E.)",bachelor,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Executive Business Administration (M.B.A.),mba,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Executive Health Administration (M.H.A.),maestria,Salud,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Executive International Business (M.S.),maestria,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Executive Master of Accounting (M.AC.),maestria,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Executive Master of Taxation (M.TX.),maestria,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Exercise Science and Health Promotion (B.S.),bachelor,Salud,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Exercise Science and Health Promotion (M.S.),maestria,Salud,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Experimental Psychology (Ph.D.),doctorado,Psicología,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Finance (B.S., B.B.A.)",bachelor,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Finance (M.S.),maestria,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,General Studies (B.G.S.),bachelor,Estudios Generales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Geomatics Engineering (B.S.G.E.),bachelor,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Geosciences (B.S.),bachelor,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Geosciences (B.A.),bachelor,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Geosciences (M.S.),maestria,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Geosciences (Ph.D.),doctorado,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Health Administration (B.H.S.),bachelor,Salud,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Health Administration (M.H.A.),maestria,Salud,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Health Science (B.A.),bachelor,Salud,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,History (B.A.),bachelor,Humanidades,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,History (M.A.),maestria,Humanidades,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Hospitality and Tourism Management (B.S., B.B.A.)",bachelor,Hospitalidad,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Information Technology and Management (M.S.),maestria,Tecnología,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Information Technology and Management Advanced (M.S.),maestria,Tecnología,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Instructional Technology (M.Ed.),maestria,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Integrative Biology (Ph.D.),doctorado,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Interdisciplinary Studies (B.A.),bachelor,Estudios Generales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"International Business (B.S., B.B.A.)",bachelor,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,International Business (M.S.),maestria,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Jewish Studies (B.A.),bachelor,Humanidades,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Languages, Linguistics and Comparative Literature (B.A.)",bachelor,Idiomas,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Languages, Linguistics and Comparative Literature (M.A.)",maestria,Idiomas,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Liberal Arts and Sciences (B.S.),bachelor,Estudios Generales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Liberal Arts and Sciences (B.A.),bachelor,Estudios Generales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Management (B.S.),bachelor,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Management (B.B.A.),bachelor,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Management Information Systems (B.S., B.B.A.)",bachelor,Tecnología,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Marine Science and Oceanography (M.S.),maestria,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Marketing (B.S., B.B.A.)",bachelor,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Mathematics (B.S., B.A.)",bachelor,Matemáticas,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Mathematics (M.S.T.),maestria,Matemáticas,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Mathematics (M.S.),maestria,Matemáticas,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Mathematics (Ph.D.),doctorado,Matemáticas,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Mathematics Education (B.A., B.A.E.)",bachelor,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Mechanical Engineering (B.S.M.E.),bachelor,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Mechanical Engineering (M.S.),maestria,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Mechanical Engineering (Ph.D.),doctorado,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Media, Technology and Entertainment (M.F.A.)",maestria,Comunicación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Medical Biology (B.S.),bachelor,Salud,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Medical Physics (P.S.M.),maestria,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Medicine (M.D.),doctorado,Salud,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Multimedia Studies (B.A.),bachelor,Comunicación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Music (B.M.),bachelor,Artes,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Music (B.A.),bachelor,Artes,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Music (M.M.),maestria,Artes,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Music Education (B.M.E.),bachelor,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Neuroscience (Ph.D. · Education),doctorado,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Neuroscience (Ph.D. · Engineering and Computer Science),doctorado,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Neuroscience (Ph.D. · Science),doctorado,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Neuroscience and Behavior (B.S.),bachelor,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Nonprofit Management (M.N.M.),maestria,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Nursing (B.S.N.),bachelor,Salud,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Nursing (M.S.N.),maestria,Salud,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Nursing (Ph.D.),doctorado,Salud,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Nursing Practice (D.N.P.),doctorado,Salud,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Nursing: Accelerated (B.S.N.),bachelor,Salud,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Ocean Engineering (B.S.O.E.),bachelor,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Ocean Engineering (M.S.),maestria,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Ocean Engineering (Ph.D.),doctorado,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Philosophy (B.A.),bachelor,Humanidades,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Physics (B.S., B.A.)",bachelor,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Physics (M.S.T., M.S.)",maestria,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Physics (Ph.D.),doctorado,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Political Science (B.A.),bachelor,Ciencias Sociales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Political Science (M.A.T., M.A.)",maestria,Ciencias Sociales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Professional Business Administration (M.B.A.),mba,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Professional Studies (B.P.S.),bachelor,Estudios Generales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Psychology (B.A.),bachelor,Psicología,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Psychology (M.A.),maestria,Psicología,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Public Administration (M.P.A.),maestria,Ciencias Sociales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Public Administration (Ph.D.),doctorado,Ciencias Sociales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Public Management (B.P.M.),bachelor,Ciencias Sociales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Public Safety Administration (B.P.S.A.),bachelor,Ciencias Sociales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Reading Education (M.Ed.),maestria,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Science Education (B.S., B.S.E., B.A.)",bachelor,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Secondary Education plus Certification (M.Ed.),maestria,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Social Science Education (B.A., B.A.E.)",bachelor,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Social Work (B.S.W.),bachelor,Ciencias Sociales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Social Work (M.S.W.),maestria,Ciencias Sociales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Social Work (D.S.W.),doctorado,Ciencias Sociales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Sociology (B.A.),bachelor,Ciencias Sociales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Sociology (M.A.),maestria,Ciencias Sociales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Special Education (Ph.D.),doctorado,Educación,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Speech - Language Pathology/Audiology (M.S.),maestria,Salud,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Studio/Fine Arts (M.F.A.),maestria,Artes,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Supply Chain Management (M.S.),maestria,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Taxation (M.TX.),maestria,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Theatre (B.F.A.),bachelor,Artes,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Theatre (B.A.),bachelor,Artes,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Theatre (M.F.A.),maestria,Artes,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Transportation and Environmental Engineering (Ph.D.),doctorado,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Urban and Regional Planning (B.U.R.P.),bachelor,Arquitectura,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Urban and Regional Planning (M.U.R.P.),maestria,Arquitectura,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Urban Design (B.U.D.),bachelor,Arquitectura,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,"Women, Gender and Sexuality Studies (M.A.)",maestria,Ciencias Sociales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Actuarial Science (Undergraduate Certificate),curso_corto,Matemáticas,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Addictions (Graduate Certificate),posgrado,Salud,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Adult/Gerontological Nurse Practitioner (Post-Master's Certificate),posgrado,Salud,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Advanced Geographic Information Systems (Undergraduate Certificate),curso_corto,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Advanced Holistic Nursing (Post-Master's Certificate),posgrado,Salud,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Aerospace Engineering (Undergraduate Certificate),curso_corto,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Aerospace Engineering (Graduate Certificate),posgrado,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Applied Mental Health Services (Undergraduate Certificate),curso_corto,Psicología,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Artificial Intelligence (Graduate Certificate),posgrado,Tecnología,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Artificial Intelligence (Undergraduate Certificate),curso_corto,Tecnología,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Asian Studies (Undergraduate Certificate),curso_corto,Humanidades,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Big Data Analytics: Business (Graduate Certificate),posgrado,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Big Data Analytics: Computer Science (Graduate Certificate),posgrado,Tecnología,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Biomedical Engineering (Graduate Certificate),posgrado,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Biomedical Engineering (Undergraduate Certificate),curso_corto,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Biomedical Science (Graduate Certificate),posgrado,Salud,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Biotechnology (Undergraduate Certificate),curso_corto,Ciencias,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Business Analytics (Undergraduate Certificate),curso_corto,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Casino and Gaming Industry Management (Undergraduate Certificate),curso_corto,Hospitalidad,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Child Welfare (Undergraduate Certificate),curso_corto,Ciencias Sociales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Child Welfare (Graduate Certificate),posgrado,Ciencias Sociales,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Classical Studies (Undergraduate Certificate),curso_corto,Humanidades,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Clinical Nurse Leader (Post-Master's Certificate),posgrado,Salud,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Club Management (Undergraduate Certificate),curso_corto,Hospitalidad,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Corrosion (Graduate Certificate),posgrado,Ingeniería,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Crisis and Disaster Management (Graduate Certificate),posgrado,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Crisis and Emergency Management (Graduate Certificate),posgrado,Negocios,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Cyber Security: Computer Science (Graduate Certificate),posgrado,Tecnología,no indicada,-,https://www.fau.edu/programs/
01,Florida Atlantic University,Cyber Security: Mathematics (Graduate Certificate),posgrado,Matemáticas,no indicada,-,https://www.fau.edu/programs/
