lote,veredicto,motivo,institucion,dominio_responde,dominio_real,nombre_real,nombre_coincide,url_programas,cantidad,niveles,tipo,alerta
05,inservible,no es una institución (agencia),New England College,si,www.nec.intostudy.com,New England College (sitio operado por INTO University Partnerships),si,https://www.nec.intostudy.com/en/degrees,60+ pregrado · 20+ postgrado,Pregrado y Postgrado (no solo pathway),agencia,"El dominio de la ficha NO es el de la institucion (nec.edu) sino el micrositio del partner INTO. Lo que se extraiga de aqui es el catalogo curado por INTO, no el catalogo real del college. Coherente con partner_group=INTO, pero hay que saberlo antes de extraer."
05,ok,-,QIBA - Queensland International Business Academy,si,qiba.edu.au,Queensland International Business Academy (QIBA Pty Ltd),si,https://qiba.edu.au/all-courses/,13+,"Certificate IV, Diploma, Advanced Diploma (VET), ELICOS, PTE prep, Professional Year",institucion,-
05,corregir,dominio obsoleto,Centre for English Language in the University of South Australia (CELUSA),redirige,international.unisa.edu.au 302 -> adelaide.edu.au/study/international-students/,"Adelaide University (NO aparece ""CELUSA"" en ningun lado)",no,"https://adelaide.edu.au/study/english-language-centre/ (del sucesor, no de CELUSA)",?,Idiomas / pathway,institucion,"FICHA MUERTA. La URL exacta de la ficha da 404, el path padre /pre-entry-and-pathway-programs/ da 404, y todo international.unisa.edu.au redirige a adelaide.edu.au: UniSA ya no opera como marca independiente y CELUSA no existe en el sitio del sucesor. Reasignar a ""English Language Centre"" de Adelaide University o dar de baja."
05,revisar_a_mano,catálogo no enumerable,Golden Gate University,si,ggu.edu,Golden Gate University,si,https://ggu.edu/degrees-programs/,? (decenas),"Associate, Bachelor, Master, Doctorado (DBA), certificados under/grad",institucion,"Ojo menor: `puede_vender` dice ""Solo Postgrado"" y la universidad si tiene associate y bachelor — es restriccion comercial, no error de ficha, pero confirmar con el partner (Wellspring) que el pregrado esta excluido a proposito."
05,ok,-,North Park University,si,www.northpark.edu,North Park University,si,https://www.northpark.edu/academics/all-majors-programs/,70+ majors/minors,"Pregrado, Postgrado, Seminario teologico",institucion,-
05,revisar_a_mano,catálogo no enumerable,Bangor University,si,www.bangor.ac.uk,Bangor University,si,https://www.bangor.ac.uk/courses,? (A-Z por nivel),"Pregrado, Postgrado taught, Postgrado research, cursos cortos/CPD",institucion,"CATALOGO NO ENUMERABLE: /courses es un buscador dinamico con filtros, no una lista estatica — la extraccion posterior necesita otro tratamiento (recorrer los A-Z por nivel). Ademas `puede_vender`=""Solo pathway / Foundation & Pre master"" via Oxford International: esos programas NO viven en bangor.ac.uk sino en el partner, asi que extraer de este dominio traera oferta que no se puede vender."
05,inservible,el dominio es de otra institución,SCEI,si,www.scei.edu.au,Southern Cross Education Institute (SCEI),si,https://www.scei.edu.au/Courses,"? (4 areas: Aged Care & Disability, Health Services, Early Childhood, Community Services)",VET (Certificado / Diploma). NO se vio ELICOS,institucion,"`puede_vender` INCONSISTENTE: la ficha lo clasifica como ""Instituto Idiomas"" y habilita ""Idiomas"", pero el sitio solo muestra formacion vocacional (cuidado, salud, infancia, comunidad) y no menciona ELICOS en ningun lado. Ademas el listado carga por tabs dinamicos (""Loading tabs..."") — no enumerable en HTML plano."
06,observacion,"NO muestra RTO ni CRICOS · no otorga titulacion, es prep de examen · no sirve para visa de estudio · puede_vender vacio ",Sydney PTE Academy,si,sydneypte.com.au,Sydney PTE Academy,si,https://www.sydneypte.com.au/courses/,3,Solo preparacion examen PTE Academic,institucion (centro de coaching),"NO muestra RTO ni CRICOS · no otorga titulacion, es prep de examen · no sirve para visa de estudio · puede_vender vacio y category null"
06,inservible,duplicado de otra ficha,CCEL - Canadian College of English Language,si,canada-english.com,Canadian College of English Language (CCEL),si,https://canada-english.com/en/smrt-english-esl,~15-20 propios,Idiomas ESL (todos los niveles) + pathways,institucion,"los diplomas vocacionales que aparecen son de PARTNERS (Canadian College, Stenberg College), NO los otorga CCEL · puede_vender trae ""Idiomas"" duplicado"
06,inservible,el dominio es de otra institución,Union College,si,union.edu,"Union College (Schenectady, NY · fundado 1795)",si,https://www.union.edu/academic/majors-minors,62+ areas,Solo Bachelor (liberal arts),institucion,"""American Honors Program"" y ""American Success Program"" de puede_vender NO APARECEN en el sitio · ficha dice ciudad ""Nueva York"" pero esta en Schenectady (~4h de NYC) · tipo_adivinado ""curso_corto"" para un college que solo da pregrado"
06,corregir,nombre distinto al real,Trebas,si,trebas.com,Trebas Institute Quebec Inc.,parcial,https://www.trebas.com/programs/,~10,Diploma / ACS (sin grados),institucion,"grupo GUS confirmado (infra guscancolleges.ca) · solo campus Montreal · ficha dice ""Todos los programas"" pero NO hay grados ni idiomas, solo diplomas de carrera"
06,revisar_a_mano,el sitio bloquea acceso automatizado,University of New England (UNE),bloquea,une.edu.au,University of New England,si,https://www.une.edu.au/study/courses,?,"Pregrado, postgrado e investigacion/PhD",institucion,"403 Cloudflare a fetchers sin headers completos; con UA+Accept de Chrome responde 200 (cf-mitigated: challenge) · catalogo detras de BUSCADOR dinamico, no lista plana · ficha con category null, ciudad null y puede_vender vacio"
06,corregir,dominio obsoleto,Sydney institute of business and techonology (sibt),redirige,sibt.nsw.edu.au (cae el www),Sydney Institute of Business and Technology (SIBT),si,https://sibt.nsw.edu.au/courses/,~7,Diploma pathway + Foundation,institucion,"puede_vender INCONSISTENTE: dice ""Vocacionales (Cert, Dip, Adv Dip)"" y ""Todos los programas"" pero NO hay Cert III/IV, ni Adv Dip, ni grados propios · es pathway a Western Sydney University · Navitas confirmado · typo ""techonology"" en la ficha"
06,inservible,el dominio es de otra institución,ICP - University of Portsmouth,si,www.navitas.com es el GRUPO · el real es icp.navitas.com,Navitas (el dominio de la ficha) / International College Portsmouth (el real),no,https://icp.navitas.com/,navitas.com lista 90+ colleges,n/a,red / grupo paraguas,"🔴 FICHA FANTASMA: el dominio apunta al holding Navitas, no al college. En navitas.com ""ICP"" solo aparece como una fila del directorio. Extraer de aqui traeria los 90+ colleges del grupo como si fueran programas de Portsmouth. CORREGIR sitio a icp.navitas.com (responde 200)"
06,ok,-,McKendree University,si,mckendree.edu,McKendree University,si,https://www.mckendree.edu/academics/programs/,50+ majors,Pregrado + Postgrado (presencial y online),institucion,-
06,observacion,"puede_vender INCONSISTENTE en 2 frentes: NO hay postgrado (nada de NFQ 9) y los ""Idiomas"" son de OTRA entidad, Galway Cu",Galway Business School,si,galwaybusinessschool.ie,Galway Business School,si,https://www.galwaybusinessschool.ie/programmes/,~6,NFQ 6-8: certificados + bachelor,institucion,"puede_vender INCONSISTENTE en 2 frentes: NO hay postgrado (nada de NFQ 9) y los ""Idiomas"" son de OTRA entidad, Galway Cultural Institute, con dominio propio · ""Todos los programas"" es falso"
06,inservible,duplicado de otra ficha,New College Group - ncg,redirige,newcollegegroup.com (cae el www),New College Group - English Language Schools in the UK,si,https://newcollegegroup.com/our-courses/,~7+ (adultos) + juniors,Solo idiomas,red (grupo de escuelas),"es un GRUPO multi-campus, no una escuela · ficha dice ""Manchester, Liverpool"" pero el sitio tambien lista Cheshire y Portsmouth · puede_vender trae ""Idiomas"" duplicado"
06,inservible,duplicado de otra ficha,Browns English Language,si,brownsenglish.edu.au,BROWNS English Language School Pty Ltd (opera tambien como BROWNS Professional),parcial,https://brownsenglish.edu.au/courses/,~10,"Solo idiomas (general, academico, examenes, juniors)",institucion,"ficha dice solo Brisbane; el sitio lista Brisbane, Gold Coast y Melbourne · RTO 31998 / CRICOS 02663M (es RTO, asi que via ""BROWNS Professional"" podria haber VET que el catalogo publico no expone) · puede_vender trae ""Idiomas"" duplicado"
06,revisar_a_mano,catálogo no enumerable,Lakehead University,si,lakeheadu.ca,Lakehead University,si,https://www.lakeheadu.ca/programs,?,"Pregrado, posgrado, doctorado (+ DVM colaborativo)",institucion,"ficha pone ""Ontario"" en el campo ciudad: es la PROVINCIA · campus reales Thunder Bay, Orillia y Barrie · catalogo jerarquico por facultades/departamentos, no lista plana enumerable"
06,ok,-,KEELE UNIVERSITY INTERNATIONAL COLLEGE (KUIC),si,kuic.keele.ac.uk,Keele University International College (KUIC),si,https://kuic.keele.ac.uk/study/,~17 areas (15 UG + 2 PG),"Foundation, International Year One, Pre-Master's",institucion (pathway college operado por Navitas),-
06,observacion,"ficha dice ciudad ""New York"" pero esta en Oneonta, ~4h de NYC · enganoso para el estudiante que compra ""Nueva York"" · si",Hartwick College,si,hartwick.edu,"Hartwick College (Oneonta, NY)",si,https://www.hartwick.edu/academics/majors-and-minors/,~60-70 majors/minors,Solo Bachelor (BA/BS),institucion,"ficha dice ciudad ""New York"" pero esta en Oneonta, ~4h de NYC · enganoso para el estudiante que compra ""Nueva York"" · sin posgrado propio (solo acuerdos cooperativos)"
06,revisar_a_mano,catálogo no enumerable,Southern Cross Education Institute (Higher Education),si,scei-he.edu.au,Southern Cross Education Institute - Higher Education,si,https://www.scei-he.edu.au/courses,?,Bachelor/diploma (VET a HE) + ELICOS,institucion,"ENTIDAD SEPARADA del ""Southern Cross Education Institute"" (el VET), que el propio sitio lista como ""OUR PARTNER"" · no mezclar catalogos · TEQSA PRV14066 / CRICOS 03739K · catalogo por tabs filtrables, no lista plana · ficha con category null y puede_vender vacio"
